mass_MeV,observed_counts,smooth_truth_counts,truth_gp_variance,signal_m66_counts,signal_m78_counts,signal_m80_counts
101.9375,900596.0,900749.2583907249,53126.481927458226,0.0,0.0,0.0
102.5625,890484.0,891200.4981253294,51979.70834077975,0.0,0.0,0.0
103.1875,882882.0,881628.4968047988,50695.10808695598,0.0,0.0,0.0
103.8125,872173.0,872038.6199824407,49313.69885751023,0.0,0.0,0.0
104.4375,861980.0,862435.8864619236,47885.00839731629,0.0,0.0,0.0
105.0625,854308.0,852824.992717143,46459.58252357358,0.0,0.0,0.0
105.6874999999999,844103.0,843210.3367965709,45082.6874194705,0.0,0.0,0.0
106.3125,833672.0,833596.044127759,43790.47329454771,0.0,0.0,0.0
106.9374999999999,822784.0,823985.9922350668,42607.08331281725,0.0,0.0,0.0
107.5625,813761.0,814383.8355820762,41544.3021349076,0.0,0.0,0.0
108.1875,805300.0,804793.029366551,40602.06122612133,0.0,0.0,0.0
108.8125,796244.0,795216.8537961307,39770.65901841827,0.0,0.0,0.0
109.4375,784719.0,785658.4339167099,39032.762003604425,0.0,0.0,0.0
110.0625,776663.0,776120.7604540905,38366.87540314825,0.0,0.0,0.0
110.6875,766254.0,766606.7092118891,37749.30182233776,0.0,0.0,0.0
111.3125,757602.0,757119.0562523056,37157.15795965018,0.0,0.0,0.0
111.9375,747739.0,747660.4925245752,36570.19083308259,0.0,0.0,0.0
112.5625,737802.0,738233.637741765,35972.19936177091,0.0,0.0,0.0
113.1875,728483.0,728841.0500385278,35351.55633751981,0.0,0.0,0.0
113.8125,718403.0,719485.2359236449,34702.10920085094,0.0,0.0,0.0
114.4375,711177.0,710168.6558368999,34022.268636593035,0.0,0.0,0.0
115.0625,701063.0,700893.7319395865,33314.70464667489,0.0,0.0,0.0
115.6875,691039.0,691662.8489008714,32585.39042485157,0.0,0.0,0.0
116.3125,682198.0,682478.3586325818,31842.549929501245,0.0,0.0,0.0
116.9375,672971.0,673342.579992613,31095.693880788214,0.0,0.0,0.0
117.5625,663710.0,664257.7994303062,30354.45760834297,0.0,0.0,0.0
118.1875,655154.0,655226.2681355828,29627.871521435292,0.0,0.0,0.0
118.8125,646503.0,646250.2020765593,28923.69619590794,0.0,0.0,0.0
119.4375,637831.0,637331.777390242,28247.79651434264,0.0,0.0,0.0
120.0625,628391.0,628473.1278323046,27604.097635745948,0.0,0.0,0.0
120.6875,619797.0,619676.3399623563,26994.409085799998,0.0,0.0,0.0
121.3125,610697.0,610943.4495041755,26418.570249119504,0.0,0.0,0.0
121.9375,601813.0,602276.436865893,25874.699584364087,0.0,0.0,0.0
122.5625,593632.0,593677.222722824,25359.611623830948,0.0,0.0,0.0
123.1875,585833.0,585147.6628860416,24869.08747742464,0.0,0.0,0.0
123.8125,578414.0,576689.5443895166,24398.441146737256,0.0,0.0,0.0
124.4374999999999,568580.0,568304.5813679165,23942.845829789418,0.0,0.0,0.0
125.0625,558708.0,559994.4107439221,23497.657830363256,0.0,0.0,0.0
125.68750000000001,550800.0,551760.5888527188,23058.790039819087,0.0,0.0,0.0
126.3125,543553.0,543604.5883711182,22622.87359603363,0.0,0.0,0.0
126.93750000000001,535887.0,535527.7952529751,22187.4031188305,0.0,0.0,0.0
127.5625,527853.0,527531.506158925,21750.7493218668,0.0,0.0,0.0
128.1874999999999,519822.0,519616.9270985583,21312.225222264722,0.0,0.0,0.0
128.8125,512270.0,511785.1713214805,20871.974711556828,0.0,0.0,0.0
129.4375,504067.0,504037.25884488225,20430.813241130072,0.0,0.0,0.0
130.0625,495409.0,496374.1157200393,19990.11122436019,0.0,0.0,0.0
130.6875,489399.0,488796.57404776505,19551.625868392726,0.0,0.0,0.0
131.3125,481884.0,481305.3715725494,19117.309548318906,0.0,0.0,0.0
131.9375,474455.0,473901.15404399275,18689.183552162845,0.0,0.0,0.0
132.5625,467038.0,466584.4748196921,18269.142137696494,0.0,0.0,0.0
133.1875,458900.0,459355.79677982605,17858.87190664546,0.0,0.0,0.0
133.8125,452123.0,452215.49507950677,17459.74706601827,0.0,0.0,0.0
134.4375,444040.0,445163.8580572105,17072.78138509616,0.0,0.0,0.0
135.0625,438239.0,438201.0902589288,16698.572215041808,0.0,0.0,0.0
135.6875,431821.0,431327.31513049564,16337.352539452895,0.0,0.0,0.0
136.3125,424090.0,424542.5777663773,15988.949047346214,0.0,0.0,0.0
136.9375,417340.0,417846.8479353488,15652.87986388593,0.0,0.0,0.0
137.5625,411810.0,411240.0231793729,15328.391104175116,0.0,0.0,0.0
138.1875,404037.0,404721.9321117819,15014.529498507834,0.0,0.0,0.0
138.8125,398860.0,398292.33816278115,14710.219357075994,0.0,0.0,0.0
139.4375,392253.0,391950.94240102905,14414.323325134115,0.0,0.0,0.0
140.0625,385111.0,385697.3872618489,14125.719014631293,0.0,0.0,0.0
140.6875,380419.0,379531.26038825896,13843.3355557564,0.0,0.0,0.0
141.3125,373023.0,373452.0973526275,13566.234587338531,0.0,0.0,0.0
141.9375,366969.0,367459.38544493576,13293.599444509204,0.0,0.0,0.0
142.5625,361298.0,361552.5669372042,13024.82757229728,0.0,0.0,0.0
143.1875,355965.0,355731.0428515855,12759.45150880438,0.0,0.0,0.0
143.8125,349675.0,349994.17516714026,12497.207372061472,0.0,0.0,0.0
144.4375,344341.0,344341.2909031177,12237.9853251414,0.0,0.0,0.0
145.0625,339250.0,338771.6846161509,11981.844847030143,0.0,0.0,0.0
145.6875,333962.0,333284.62132567103,11728.957943014762,0.0,0.0,0.0
146.3125,327325.0,327879.33949510125,11479.594278971506,0.0,0.0,0.0
146.9375,322815.0,322555.05342152633,11234.0893201363,0.0,0.0,0.0
147.5625,316581.0,317310.95604899473,10992.807282279518,0.0,0.0,0.0
