mass_MeV,dataset_set,eps2_current,density_current_events_per_GeV,density_2021_full_equivalent_events_per_GeV,density_2015,density_2016,density_2021,projection_scale,eps2_observed_equivalent,babar_eps2_90_logy,current_over_babar,proxy_over_babar
52,2015+2016+2021,6.0282777711464049e-06,2097595739.935472,7340061092.557066,212381663.76433375,1302717925.8798501,582496150.29128814,0.53457797168033616,3.2225845036251028e-06,6.0680559305018524e-07,9.9344466171521297,5.3107363223637627
53,2015+2016+2021,4.8208466609116962e-06,2186165102.0872364,8144100572.5547371,192211269.0725427,1331961002.9627495,661992830.05194449,0.51810754235802314,2.4977170155698412e-06,8.0541379620100888e-07,5.9855526235715821,3.1011599594532901
54,2015+2016+2021,4.1450885193592825e-06,2273478923.1206126,8964367980.329319,173609269.79326248,1356437535.8597162,743432117.46763396,0.50359989202463218,2.0874661307818771e-06,7.5894427740621333e-07,5.4616506675900363,2.7504866864746025
55,2015+2016+2021,3.0349586474526652e-06,2358302751.032053,9791070590.211628,156600051.37024823,1375839606.4196298,825863093.24217498,0.49077754966691806,1.4894895683372427e-06,9.017771134520262e-07,3.365530797111012,1.6517269579346918
56,2015+2016+2021,3.2260515227308679e-06,2440645104.1001129,10617388212.181168,141035715.38668299,1391082376.7044239,908527012.00900602,0.47945016002624774,1.5467309188262348e-06,1.2492873601200148e-06,2.5823134258085765,1.23809058524185
57,2015+2016+2021,2.7045464283974757e-06,2520208442.9426603,11437738796.24325,126862017.54150768,1402509719.4788651,990836705.9222877,0.46940546758959634,1.2695288808396898e-06,1.6572531742937878e-06,1.631945239477351,0.76604401821748169
58,2015+2016+2021,2.3511732787447849e-06,2595770061.22083,12247411469.558598,113943238.38032207,1409422221.9140892,1072404600.9264188,0.46037417662883767,1.082419462313855e-06,1.766776721957833e-06,1.3307698983827225,0.61265209625038786
59,2015+2016+2021,2.1316282311782747e-06,2667604459.4485941,13036036729.431623,102278331.26874143,1413278098.1817381,1152048029.9981143,0.45236388961856183,9.6427163787653929e-07,1.7154261576312408e-06,1.2426231357703847,0.56211783502710555
60,2015+2016+2021,2.0117266602985972e-06,2734464615.7570391,13795898747.423685,91732194.018182248,1413684184.887007,1229048236.8518496,0.44520614985134954,8.9563308098485218e-07,1.8572619141354697e-06,1.0831679931556819,0.48223305187505405
61,2015+2016+2021,2.0676880408453202e-06,2795912104.3018918,14523188437.274939,82218394.661297798,1410663005.976922,1303030703.663672,0.43876378166490071,9.072266241045824e-07,1.8215365648743596e-06,1.1351339746440603,0.49805567541113749
62,2015+2016+2021,2.5999139101415995e-06,2852575011.6700411,15214823574.82576,73678076.679561928,1405313761.3065102,1373583173.6839688,0.43299718840572976,1.1257554131882597e-06,1.409804552307913e-06,1.8441662043759359,0.79851878144764665
63,2015+2016+2021,3.157580846576684e-06,2903123040.4709234,15862327339.782169,66010914.499727249,1397200537.1588354,1439911588.8123605,0.42780836026453872,1.3508394843766852e-06,9.223241939099904e-07,3.423504302961863,1.4646037622087074
64,2015+2016+2021,5.1090311085636093e-06,2946663000.0608931,16457244524.535831,59126397.218958229,1386360877.900275,1501175724.9416599,0.42314252564933702,2.161848326898638e-06,7.8124395726517174e-07,6.5396104008897815,2.767187261795176
65,2015+2016+2021,6.4715173667918211e-06,2983351705.0830646,16995767447.016056,52929794.734104469,1373486827.9119611,1556935082.4369991,0.4189689491644929,2.7113648306645356e-06,7.9652097703900892e-07,8.1247293584772518,3.404009321567119
66,2015+2016+2021,6.6356509848003622e-06,3013711215.9491892,17481494181.005112,47337423.573393308,1358842351.8140266,1607531440.5617692,0.41520401284865421,2.7551489167522344e-06,8.0986158923693679e-07,8.1935618048666417,3.401999740904091
67,2015+2016+2021,5.3866932153029558e-06,3037083536.7420678,17911234395.303967,42337863.641424,1342062244.3715439,1652683428.7291,0.41178034216114667,2.2181343753145786e-06,8.0074465215864408e-07,6.7271048277144665,2.7700895277101649
68,2015+2016+2021,3.7484556326456616e-06,3053312315.2811556,18281737298.276569,37899955.476686701,1323365139.4716449,1692047220.3328238,0.40867388152616674,1.5318959131219255e-06,8.8788712011834477e-07,4.2217704792767323,1.7253273286786073
69,2015+2016+2021,2.0508788261056015e-06,3063429815.7395959,18600078124.631519,33961895.389469631,1303173663.8065791,1726294256.5435472,0.40583227563565344,8.3231282105141382e-07,1.0832550588264472e-06,1.8932557105502346,0.76834427337279776
70,2015+2016+2021,1.3440019481071201e-06,3067067884.2571735,18864492626.696201,30474118.940353226,1281324349.4902616,1755269415.8265586,0.40321727446630362,5.4192480239315535e-07,1.1526951604941201e-06,1.1659647703656477,0.47013713683056596
71,2015+2016+2021,9.5875451440762274e-07,3065384977.4390545,19085491849.582722,27331018.393590622,1258042084.3628342,1780011874.6826298,0.40076596689510724,3.8423617998161993e-07,8.8939367556449403e-07,1.0779866562454536,0.4320203645902328
72,2015+2016+2021,8.0042910099618919e-07,3058869132.1389952,19261279503.302597,24533534.784259193,1234067778.3365581,1800267819.0181777,0.39850876852011874,3.1897801532565708e-07,7.5427693454894596e-07,1.0611872965131064,0.42289244270263204
