mass_MeV,width_scale,sigma_template_MeV,eps2_90,epsilon_90,A90_full_template_events,A90_fitted_window_events,limit_ratio_to_nominal,template_fraction_in_fixed_window,signal_yield_per_eps2_total,signal_yield_per_eps2_fitted_window,nominal_saved_eps2_90,cls_at_limit,limit_optimizer_ok,limit_convergence_reason,limit_numerical_method,limit_initial_error
66,0.9,1.9184143500000004,7.167971189847885e-06,0.0026773067044789404,23419.61440626758,23205.275405057662,0.8851120803447003,0.9908478851320216,3267258445.379519,3237356120.7840333,8.09837329627897e-06,0.10000016096902499,True,bracket_width,production,
66,1.0,2.1315715,8.098376859862055e-06,0.002845764723209221,26459.49018925037,25956.970537959885,1.0,0.9810079616917697,3267258445.379519,3205206547.8219824,8.09837329627897e-06,0.09999972641588427,True,bracket_width,production,
66,1.1,2.3447286500000004,9.041129189716156e-06,0.003006847051267516,29539.7057008674,28565.76823662601,1.1164125041558215,0.9670295474808068,3267258445.379519,3159535455.9382005,8.09837329627897e-06,0.10000005698377962,True,bracket_width,production,
66,1.2,2.5578858,9.947200114462688e-06,0.0031539182161975424,32500.073581858334,30855.119920436282,1.2282955321286597,0.9493861557796511,3267258445.379519,3101889935.397461,8.09837329627897e-06,0.1000001411131268,True,bracket_width,production,
67,0.8,1.7132943000000003,4.238190851514848e-06,0.0020586866812399717,14451.903827645849,14361.51676591209,0.8068791578520824,0.9937456640445633,3409922850.095421,3388596047.0088034,5.252571974604276e-06,0.10000006409530969,True,bracket_width,production,
67,0.9,1.9274560875000002,4.782256639032146e-06,0.002186837131345667,16307.126188456243,16061.372823847214,0.9104599921817063,0.9849296950444282,3409922850.095421,3358534272.8695097,5.252571974604276e-06,0.10000011192266522,True,bracket_width,production,
67,1.0,2.141617875,5.252571974714206e-06,0.002291849029651431,17910.865198348798,17397.15196733372,1.0,0.9713183464156473,3409922850.095421,3312120624.159616,5.252571974604276e-06,0.10000007245323428,True,bracket_width,production,
67,1.1,2.3557796625000003,5.620243515426362e-06,0.0023707052780610168,19164.59678635297,18269.77167748663,1.069998382217725,0.9533084301829121,3409922850.095421,3250708199.269307,5.252571974604276e-06,0.09999989815457849,True,bracket_width,production,
67,1.2,2.56994145,5.876527147171081e-06,0.0024241549346465216,20038.504198344726,18671.118163258954,1.1187904088626648,0.9317620705841544,3409922850.095421,3177236775.3371305,5.252571974604276e-06,0.10000000083077853,True,bracket_width,production,
68,0.8,1.7214688000000005,2.08834931900227e-06,0.0014451122167507512,7399.5381646853,7371.652007369841,0.759713073484777,0.9962313651616059,3543247337.6726575,3529894132.3148575,2.748865000279625e-06,0.09999996806356527,True,bracket_width,production,
68,0.9,1.9366524000000003,2.4121155099892036e-06,0.0015530986800551998,8546.72185892817,8461.40226393082,0.877494809426663,0.9900172725396205,3543247337.6726575,3507876065.175956,2.748865000279625e-06,0.09999992333758932,True,bracket_width,production,
68,1.0,2.1518360000000003,2.748865844078588e-06,0.001657970399035697,9739.911583650759,9541.630817593776,1.0,0.9796424470228442,3543247337.6726575,3471115492.2848206,2.748865000279625e-06,0.1000000031541971,True,cls_residual,production,
68,1.1,2.3670196000000003,3.0891899062401415e-06,0.001757609144901147,10945.763910850628,10563.668908882706,1.1238052642309393,0.9650919748425097,3543247337.6726575,3419559570.46997,2.748865000279625e-06,0.10000005216975784,True,bracket_width,production,
68,1.2,2.5822032000000004,3.426576470225574e-06,0.0018511014208372199,12141.207955458538,11496.450188169998,1.2465419065855332,0.9468950890509487,3543247337.6726575,3355083503.335088,2.748865000279625e-06,0.10000006572135199,True,bracket_width,production,
69,0.8,1.7297807000000003,1.1487931072312057e-06,0.0010718176651050334,4213.9154303107925,4197.319479234724,0.7825737481272507,0.996061631669992,3668123880.432285,3653677457.5110435,1.4679678560054414e-06,0.10000000689310701,True,bracket_width,production,
69,0.9,1.9460032875000004,1.2994630984598523e-06,0.001139939953883472,4766.591623201113,4717.283842451097,0.8852122293506337,0.9896555474754722,3668123880.432285,3630179147.097066,1.4679678560054414e-06,0.09999993920552973,True,bracket_width,production,
69,1.0,2.1622258750000003,1.4679678560395637e-06,0.0012115972334235349,5384.687948445706,5271.7884389997325,1.0,0.9790332307968632,3668123880.432285,3591215173.6227465,1.4679678560054414e-06,0.10000005985982718,True,bracket_width,production,
69,1.1,2.3784484625000006,1.6518927881453558e-06,0.0012852598134794988,6059.3473841098485,5842.48877822702,1.1252922067394608,0.964210897290437,3668123880.432285,3536845018.124093,1.4679678560054414e-06,0.10000002432649194,True,bracket_width,production,
69,1.2,2.59467105,1.8475815069800687e-06,0.001359257704403425,6777.157846798658,6409.462939163479,1.2585980676475208,0.9457449692117075,3668123880.432285,3469109706.36416,1.4679678560054414e-06,0.10000004818249253,True,bracket_width,production,
70,0.8,1.7382300000000004,8.769471755964884e-07,0.000936454577433678,3318.1448236704755,3294.786669181102,0.8042144431234556,0.9929604776974336,3783745379.433505,3757109619.4477506,1.0904394755562134e-06,0.09999999759178771,True,cls_residual,production,
70,0.9,1.9555087500000004,9.769426428211678e-07,0.0009884040888326836,3696.5022107461505,3635.2075443766616,0.8959164306853246,0.9834181983737766,3783745379.433505,3721004064.1475997,1.0904394755562134e-06,0.1000000322695793,True,bracket_width,production,
