mass_MeV,eps2_observed,expected_median,p0_local_asymptotic,selected_scope_key
203,7.0675469499633387e-06,5.2225133330695714e-06,0.2268376813507007,individual_2021_10pct
204,7.577166658936389e-06,5.4198834283153588e-06,0.1810041850033598,individual_2021_10pct
205,8.3008040612427059e-06,5.4673334910827041e-06,0.1276745556433507,individual_2021_10pct
206,8.6992282593630991e-06,5.5958562833024721e-06,0.109656651854508,individual_2021_10pct
207,9.0243929821441681e-06,5.4336847813864197e-06,0.094416710729195802,individual_2021_10pct
208,9.4698367232661978e-06,5.6480429851596635e-06,0.079025419028621896,individual_2021_10pct
209,9.5836461318329872e-06,5.8629287808843693e-06,0.079490960230850005,individual_2021_10pct
210,9.4158994986901087e-06,5.8274711439963578e-06,0.095673249606410105,individual_2021_10pct
211,8.7890281343719582e-06,5.5261308190154401e-06,0.14036366923207311,individual_2021_10pct
212,9.3422725413384758e-06,7.0104967644965686e-06,0.18812640231117331,individual_2021_10pct
213,9.0449514012839017e-06,6.9530026437531484e-06,0.27591658821264892,individual_2021_10pct
214,8.7869849956416764e-06,7.634602667554091e-06,0.35604714321282732,individual_2021_10pct
215,7.9394244345126905e-06,8.0518414813035535e-06,0.5,individual_2021_10pct
216,7.3697866233376201e-06,8.4441172606528452e-06,0.49996556460065622,individual_2021_10pct
217,6.8708480896867707e-06,8.5409391116248934e-06,0.5,individual_2021_10pct
218,6.558076345988828e-06,8.7448364152219084e-06,0.5,individual_2021_10pct
219,6.1931630138637862e-06,9.1681065435378363e-06,0.5,individual_2021_10pct
220,6.1130625573852767e-06,9.2004118888995117e-06,0.5,individual_2021_10pct
221,6.1611715066547465e-06,1.0254314167481789e-05,0.5,individual_2021_10pct
222,6.1446945299433183e-06,9.738539229419172e-06,0.5,individual_2021_10pct
223,6.4411289085788728e-06,1.0674539428119163e-05,0.5,individual_2021_10pct
224,6.9474073764821882e-06,1.1434497068704323e-05,0.5,individual_2021_10pct
225,7.7466769979608701e-06,1.1445307644631049e-05,0.5,individual_2021_10pct
226,8.3455708369706801e-06,1.166584063487092e-05,0.5,individual_2021_10pct
227,8.9661919064099596e-06,1.17043288755147e-05,0.5,individual_2021_10pct
228,9.6387314731132524e-06,1.1696705890908354e-05,0.5,individual_2021_10pct
229,1.0575851667671191e-05,1.1732797042055996e-05,0.499975650495596,individual_2021_10pct
230,1.1214531799961668e-05,1.2219344165313417e-05,0.5,individual_2021_10pct
231,1.173275739444626e-05,1.1792145999897444e-05,0.5,individual_2021_10pct
232,1.2528952273812425e-05,1.3474791138733591e-05,0.5,individual_2021_10pct
233,1.2479428425154274e-05,1.3049496876650649e-05,0.5,individual_2021_10pct
234,1.323042249099648e-05,1.3956593878955676e-05,0.5,individual_2021_10pct
235,1.3520166014079316e-05,1.4375398291696411e-05,0.49996556460065622,individual_2021_10pct
236,1.3863108621467997e-05,1.4253637079386398e-05,0.5,individual_2021_10pct
237,1.4620616591020218e-05,1.4368000941299254e-05,0.48262678770066181,individual_2021_10pct
238,1.5178621053950689e-05,1.4601248963248874e-05,0.46707835225716848,individual_2021_10pct
