mass_GeV,epsilon_90,mass_MeV,eps2_90
1.7437,0.00086521,1743.7,7.485883441e-07
1.7451,0.0009399,1745.1,8.8341201e-07
1.7464,0.00099595,1746.4,9.919164025e-07
1.7478,0.0010836,1747.8,1.17418896e-06
1.7492,0.0011607,1749.2,1.34722449e-06
1.7505,0.0012077,1750.5,1.45853929e-06
1.7519,0.0012145,1751.9,1.47501025e-06
1.7533,0.0012111,1753.3,1.46676321e-06
1.7546,0.0012351,1754.6,1.52547201e-06
1.756,0.0012333,1756,1.52102889e-06
1.7573,0.0012037,1757.3,1.44889369e-06
1.7587,0.0011635,1758.7,1.35373225e-06
1.7601,0.0010997,1760.1,1.20934009e-06
1.7614,0.0010097,1761.4,1.01949409e-06
1.7628,0.00093903,1762.8,8.817773409e-07
1.7642,0.00088049,1764.2,7.752626401e-07
1.7655,0.00083504,1765.5,6.972918016e-07
1.7669,0.00080981,1766.9,6.557922361e-07
1.7683,0.00078848,1768.3,6.217007104e-07
1.7696,0.00074392,1769.6,5.534169664e-07
1.771,0.00069823,1771,4.875251329e-07
1.7724,0.00068141,1772.4,4.643195881e-07
1.7738,0.00067579,1773.8,4.566921241e-07
1.7751,0.00071511,1775.1,5.113823121e-07
1.7765,0.00073785,1776.5,5.444226225e-07
1.7779,0.00076064,1777.9,5.785732096e-07
1.7793,0.00080391,1779.3,6.462712881e-07
1.7806,0.00085522,1780.6,7.314012484e-07
1.782,0.00089834,1782,8.070147556e-07
1.7834,0.00089838,1783.4,8.070866244e-07
1.7848,0.0008504,1784.8,7.2318016e-07
1.7862,0.00082871,1786.2,6.867602641e-07
1.7875,0.00083591,1787.5,6.987455281e-07
1.7889,0.00086158,1788.9,7.423200964e-07
1.7903,0.0009229,1790.3,8.5174441e-07
1.7917,0.00098125,1791.7,9.628515625e-07
1.793,0.0010141,1793,1.02839881e-06
1.7944,0.0010243,1794.4,1.04919049e-06
1.7958,0.0010379,1795.8,1.07723641e-06
1.7972,0.0010457,1797.2,1.09348849e-06
1.7986,0.0010656,1798.6,1.13550336e-06
1.8,0.0010888,1800,1.18548544e-06
