current_profile_backbone,mass_MeV,datasets_three,observed_three_ee,observed_three_minimal,scale_three,projected_three_minimal,density_2015,density_2016,density_2021,dimuon_factor,archived_three_ee,parent_replay_relative_error,three_cls,three_max_score,datasets_four,density_2019,observed_four_ee,observed_four_minimal,scale_four,projected_four_minimal,max_score,cls,standalone_2019_replay_ratio,standalone_2019_ee,covariance_load_2019
True,78,2015+2016+2021,3.7304254773972122e-06,3.7304254773972122e-06,0.38711813917080895,1.4441153691253855e-06,13018068.842261039,1070693988.9186631,1847769944.3645077,1,3.7303595678789029e-06,1.7668408932136614e-05,0.09999999985838548,1.6361719934465668e-07,2015+2016+2021+2019,48124063.054112792,4.3714137576125683e-06,4.3714137576125683e-06,0.34963720882652349,1.5284089048375233e-06,1.6352503995342715e-07,0.099999995640584705,1.0000273840010698,3.7577947389712893e-05,9.9999999999999995e-08
True,79,2015+2016+2021,4.1422745501752582e-06,4.1422745501752582e-06,0.38546462430868128,1.5967003032667176e-06,11752408.010855107,1041422418.9978548,1845689661.7151535,1,4.1418599127285707e-06,0.00010010899823376107,0.099999998009459648,1.6252966017482606e-07,2015+2016+2021+2019,50021184.172129847,4.7409139726274965e-06,4.7409139726274965e-06,0.34684697550075827,1.6443716725151318e-06,1.6228605792534267e-07,0.10000000311159679,0.99999724640808663,3.4562600382874383e-05,9.9999999999999995e-08
True,80,2015+2016+2021,3.9032114891238962e-06,3.9032114891238962e-06,0.38388180945673761,1.4983718891372087e-06,10629752.650853947,1012059928.3610625,1840971776.2432175,1,3.9026189083612495e-06,0.00015184182123872958,0.099999999460954642,1.7329789470110768e-07,2015+2016+2021+2019,51803242.032006785,4.255102827021753e-06,4.255102827021753e-06,0.34417077150215897,1.4644820227970943e-06,1.7242255756499958e-07,0.099999996750862671,0.99999970395539817,2.4546712158693899e-05,9.9999999999999995e-08
True,81,2015+2016+2021,3.5064947960824938e-06,3.5064947960824938e-06,0.38232361225486977,1.3406157567911619e-06,9607107.9908582419,982203778.11922979,1834117166.8439004,1,3.507550391398093e-06,-0.00030094943701675092,0.099999999990549232,1.5721311874550281e-07,2015+2016+2021+2019,53435926.070890516,3.5064293075371495e-06,3.5064293075371495e-06,0.34159054526763977,1.1977630991040475e-06,1.5563187916178833e-07,0.099999999972027423,1.0000163826385704,1.3741501155807726e-05,9.9999999999999995e-08
True,82,2015+2016+2021,2.370933295665442e-06,2.370933295665442e-06,0.38077977255626261,9.0280344106955713e-07,8679181.0448943619,952011335.40213168,1825600864.2651041,1,2.3693916456611577e-06,0.00065065224953730905,0.099999999999969336,1.6815551417970198e-07,2015+2016+2021+2019,54874663.253606759,2.1685110043719302e-06,2.1685110043719302e-06,0.33912766049102155,7.3540206366168811e-07,1.6592627927192183e-07,0.10000000000045126,0.91780704485805653,7.9823928003766511e-06,9.9999999999999995e-08
True,83,2015+2016+2021,1.6700855967306754e-06,1.6700855967306754e-06,0.37926465889821021,6.3340444417487341e-07,7833089.0709739625,921924483.72976542,1815668681.2943499,1,1.6675718483913278e-06,0.0015074303045907733,0.099999999972026979,1.6567604621542387e-07,2015+2016+2021+2019,56148608.793007784,1.4623969299481235e-06,1.4623969299481235e-06,0.33677602344646285,4.9250022276824449e-07,1.6338389796644037e-07,0.10000000009824547,0.81315627883285346,6.0252455649791134e-06,9.9999999999999995e-08
True,84,2015+2016+2021,1.3238535026092706e-06,1.3238535026092706e-06,0.37779992360124176,5.001517521450187e-07,7089301.850271943,891996324.73505497,1803665927.1918221,1,1.3221588689556129e-06,0.0012817171169423602,0.099999995640868658,1.6161095373057321e-07,2015+2016+2021+2019,57419102.53784164,1.1613320757768313e-06,1.1613320757768313e-06,0.33443831120430129,3.8839393817018908e-07,1.5941422581988718e-07,0.099999999905160022,0.78982505803646708,5.5768102707292724e-06,9.9999999999999995e-08
True,85,2015+2016+2021,1.4267644059448801e-06,1.4267644059448801e-06,0.3763432097158721,5.3695309604165571e-07,6409382.2416356485,862026739.40652621,1790440672.413316,1,1.4258924495463958e-06,0.00061151624637734159,0.10000000012160652,1.5889572102523175e-07,2015+2016+2021+2019,58607605.916702606,1.292001026915319e-06,1.292001026915319e-06,0.33213875773478119,4.2912361607171564e-07,1.5671219077972864e-07,0.10000000525427021,0.87239108039558722,6.5861360130046718e-06,9.9999999999999995e-08
True,86,2015+2016+2021,1.4314416088794145e-06,1.4314416088794145e-06,0.37490513829130928,5.3665481433287111e-07,5820719.1718359925,832060227.98769677,1775696555.8627672,1,1.4294969238380709e-06,0.0013603981994745329,0.10000000010325823,1.6749703846130615e-07,2015+2016+2021+2019,59566598.726313323,1.3719998019264628e-06,1.3719998019264628e-06,0.32996821970859774,4.5271633208222369e-07,1.7891626891142209e-07,0.10000000038629479,0.97890272100922937,8.9089284756030506e-06,9.9999999999999995e-08
True,87,2015+2016+2021,1.4438482808199991e-06,1.4438482808199991e-06,0.37349053624834083,5.3926366866470645e-07,5279726.5419957424,802582257.90527868,1760136602.0647149,1,1.4429256312202808e-06,0.00063942976668740492,0.10000000002747608,1.5495032190671054e-07,2015+2016+2021+2019,60483183.745622918,1.4524296184165942e-06,1.4524296184165942e-06,0.32782799818341257,4.7614709430780985e-07,1.5300073474833198e-07,0.10000000000102578,1.0000073519500154,1.1483248823978067e-05,9.9999999999999995e-08
