mass_MeV,mass_GeV,dataset_set,includes_2016,sigma_mass_res_min_GeV,v4_k8_eps2_obs_ee,v4p1_k12_eps2_obs_ee,v4_k8_p0_local_asymptotic,v4p1_k12_p0_local_asymptotic,v4_k8_Z_local_asymptotic,v4p1_k12_Z_local_asymptotic,minimal_visible_factor,v4_k8_eps2_obs_minimal_visible,v4p1_k12_eps2_obs_minimal_visible,observed_limit_ratio_k12_over_k8,observed_limit_fractional_change,delta_Z_k12_minus_k8,p0_ratio_k12_over_k8
83,0.083,2015+2016+2021,True,0.002325717875,2.1105109812006688e-06,2.3191684817982414e-06,0.4916983108486475,0.3699030816406341,0.0208107508018809,0.3321100478074629,1.0,2.1105109812006688e-06,2.3191684817982414e-06,1.098865868245266,0.09886586824526611,0.311299297005582,0.7522968321819111
84,0.084,2015+2016+2021,True,0.002338684,1.663504515096412e-06,1.7947630630210993e-06,0.5,0.5,0.0,0.0,1.0,1.663504515096412e-06,1.7947630630210993e-06,1.078904834181998,0.07890483418199801,0.0,1.0
85,0.085,2015+2016+2021,True,0.002351821875,1.4223515433845358e-06,1.7716423407635917e-06,0.5,0.5,0.0,0.0,1.0,1.4223515433845358e-06,1.7716423407635917e-06,1.2455727622356327,0.24557276223563274,0.0,1.0
86,0.086,2015+2016+2021,True,0.0023651315,1.3519138328439613e-06,1.6630978593261058e-06,0.4998622584051908,0.5,0.0003452669830012,0.0,1.0,1.3519138328439613e-06,1.6630978593261058e-06,1.2301803701701317,0.2301803701701317,-0.0003452669830012,1.0002755591015187
87,0.087,2015+2016+2021,True,0.002378612875,1.316613279377269e-06,1.5830101731435571e-06,0.5,0.5,0.0,0.0,1.0,1.316613279377269e-06,1.5830101731435571e-06,1.2023349588971854,0.20233495889718545,0.0,1.0
88,0.088,2015+2016+2021,True,0.002392266,1.3626388352229097e-06,1.6658488135095563e-06,0.4998622584051908,0.5,0.0003452669830012,0.0,1.0,1.3626388352229097e-06,1.6658488135095563e-06,1.2225167597230895,0.22251675972308949,-0.0003452669830012,1.0002755591015187
89,0.089,2015+2016+2021,True,0.002406090875,1.4997570391807714e-06,1.8546972242568097e-06,0.5,0.5,0.0,0.0,1.0,1.4997570391807714e-06,1.8546972242568097e-06,1.2366651236189037,0.23666512361890368,0.0,1.0
90,0.09,2015+2016+2021,True,0.0024200875,1.8354868973598211e-06,2.347444818377433e-06,0.5,0.3165670166644795,0.0,0.4773203343019088,1.0,1.8354868973598211e-06,2.347444818377433e-06,1.278922133279195,0.2789221332791949,0.4773203343019088,0.633134033328959
91,0.091,2016+2021,True,0.002434255875,2.3811687404425e-06,2.861226337427733e-06,0.3170194483098191,0.1490160347371729,0.4760498040614663,1.0406628094926895,1.0,2.3811687404425e-06,2.861226337427733e-06,1.2016058706095825,0.20160587060958246,0.5646130054312233,0.47005329020553155
92,0.092,2016+2021,True,0.002448596,2.7959684368227755e-06,3.0266657482209935e-06,0.182239718923428,0.1104253908323283,0.9068626437669788,1.224268961779258,1.0,2.7959684368227755e-06,3.0266657482209935e-06,1.0825106994628213,0.0825106994628213,0.31740631801227914,0.6059348175285869
93,0.093,2016+2021,True,0.002463107875,2.883052116498948e-06,2.920873623219251e-06,0.157835162607177,0.1321281021364853,1.0033949800628463,1.1163877278760868,1.0,2.883052116498948e-06,2.920873623219251e-06,1.0131185650456545,0.013118565045654451,0.11299274781324042,0.837127164530049
94,0.094,2016+2021,True,0.0024777915,2.5906040409299173e-06,2.515446441863511e-06,0.2361481748924787,0.24417552035705,0.7187477609350739,0.6929338895852138,1.0,2.5906040409299173e-06,2.515446441863511e-06,0.9709883880828705,-0.02901161191712953,-0.025813871349860018,1.033992832966955
