lower_factor,upper_factor,mass_MeV,mass_GeV,A_up_upper_over_lower,eps2_up_upper_over_lower,A_eps2_ratio_difference,delta_Z_upper_minus_lower,delta_lml_upper_minus_lower,lower_at_upper_boundary,upper_at_upper_boundary
8,10,167,0.167,1.264011785201123,1.2638846304710463,0.0001271547300767395,0.9694797446846489,3.422673547884642,True,False
8,10,168,0.168,1.3263286286517972,1.323235722593409,0.0030929060583881895,0.9962685660688284,3.8449506692400064,True,False
8,10,169,0.169,1.3048637453379253,1.3029176550520982,0.0019460902858270401,0.7631442748745347,3.69947017366394,True,False
8,10,170,0.17,1.1165305770436855,1.1153232141549614,0.0012073628887241394,0.03993609361423465,3.24169722458646,True,False
8,10,171,0.171,1.0540837756679855,1.0537789392795396,0.0003048363884459171,0.0,3.205281609191843,True,False
8,10,172,0.172,1.0070132464022723,1.005137481628526,0.0018757647737464023,3.0517578125e-05,3.207808881188612,True,False
8,10,173,0.173,0.9810229297886828,0.9792258101443233,0.0017971196443594684,0.0,3.130280452590341,True,False
8,10,174,0.174,0.9697957386697901,0.968745894201557,0.0010498444682330854,0.0,3.2478454286228953,True,False
8,10,175,0.175,0.9699227081327869,0.9691196623842477,0.0008030457485391773,0.0,3.5121296233814974,True,False
8,10,176,0.176,0.9553650123212555,0.9552526428821883,0.00011236943906722807,0.0,3.4541333833208228,True,False
8,10,177,0.177,0.9541302485369102,0.9524365411655312,0.0016937073713789719,0.0,3.9176677743503205,True,False
8,10,178,0.178,0.9411087439720021,0.9395067733819802,0.0016019705900218728,0.0,3.64968685311851,True,False
8,10,179,0.179,0.932343891193529,0.931002649745133,0.00134124144839598,0.0,4.035450545211461,True,False
8,10,180,0.18,0.9194688548380191,0.9187190037382075,0.000749851099811627,0.0,3.846254149793822,True,False
10,12,39,0.039,1.0001780500644044,1.0001780500644046,-2.220446049250313e-16,0.0,-6.394056981662288e-07,False,False
10,12,40,0.04,0.9999929039316068,0.9999929039316069,-1.1102230246251565e-16,0.0,1.6575281733821612e-06,False,False
10,12,41,0.041,1.000049270688465,1.000049270688465,0.0,0.0,2.26781139645027e-07,False,False
10,12,42,0.042,1.000006325607485,1.0000063256074847,2.220446049250313e-16,4.3497058006963796e-06,-8.760107448324561e-07,False,False
10,12,43,0.043,0.999982048063776,0.9999820480637759,1.1102230246251565e-16,-4.5369478769319294e-05,-8.657702892378438e-07,False,False
10,12,44,0.044,0.9999944769962593,0.9999944769962595,-2.220446049250313e-16,-0.000101630648021378,-1.1894217095687054e-06,False,False
10,12,45,0.045,1.2171852806562564,1.2171852806562566,-2.220446049250313e-16,0.7502292033402124,0.006426393249967077,False,False
10,12,46,0.046,0.9999881075776237,0.9999881075776238,-1.1102230246251565e-16,-4.125199289850556e-05,2.3952179617481306e-07,False,False
10,12,47,0.047,1.0000984252368612,1.0000984252368612,0.0,0.00031257317771460347,4.6373679651878774e-07,False,False
10,12,48,0.048,1.0000193472100594,1.0000193472100596,-2.220446049250313e-16,0.0,-2.0819970814045519e-07,False,False
10,12,49,0.049,1.000035444792296,1.000035444792296,0.0,0.0,-1.949424586200621e-07,False,False
10,12,50,0.05,1.000009210460702,1.000009210460702,0.0,0.0,-8.362653716176283e-07,False,False
10,12,51,0.051,1.0000082471609482,1.0000082471609482,0.0,0.0,-6.282398317125626e-07,False,False
10,12,52,0.052,1.0000401807700101,1.0000401807700103,-2.220446049250313e-16,8.183138946379898e-05,9.58957116381498e-07,False,False
10,12,53,0.053,0.9999764873659214,0.9999764873659215,-1.1102230246251565e-16,-5.569321273923844e-05,-7.794546945660841e-07,False,False
10,12,54,0.054,0.9999945006940775,0.9999945006940776,-1.1102230246251565e-16,-9.438035382891563e-06,-9.616755960450973e-07,False,False
