dataset,study,mass_GeV,inj_nsigma,n_toys,pull_mean_correct,pull_mean_ratio_of_means,delta_z_mean,abs_definition_delta_ratio,abs_definition_delta_deltaZ,sigma_ratio_mean
2015,profiled_lslb0p5,0.03,5.0,10,-4.492605902450118,-4.503693247694394,-4.714230357215408,0.011087345244275681,0.2216244547652897,1.0465230257395461
2015,profiled_lslb0p5,0.045,0.0,10,-0.008961987596256993,-0.014025991341555803,-0.008961987596256993,0.00506400374529881,0.0,1.0008924873045333
2015,profiled_lslb0p5,0.045,1.0,10,-0.8632081483138,-0.8667628316784135,-0.873398277598965,0.003554683364613509,0.01019012928516505,1.0103096003160115
2015,profiled_lslb0p5,0.045,2.0,10,-1.7623723105646882,-1.7665579793384336,-1.798174547019551,0.004185668773745377,0.03580223645486269,1.0182489397548375
2015,profiled_lslb0p5,0.045,3.0,10,-2.6162396097478036,-2.6202254650366226,-2.6922599135636323,0.003985855288819007,0.0760203038158287,1.0260341121809433
2015,profiled_lslb0p5,0.045,5.0,10,-4.541206003290526,-4.543062805709791,-4.734669196356803,0.0018568024192653354,0.19346319306627713,1.040347143114776
2015,profiled_lslb0p5,0.06,0.0,10,-0.2537925319261211,-0.3004005962455661,-0.25379253192612117,0.046608064319444975,5.551115123125783e-17,1.0012019802587724
2015,profiled_lslb0p5,0.06,1.0,10,-1.0534909177619665,-1.1010143929450793,-1.070531546570483,0.04752347518311284,0.017040628808516534,1.0174128375060052
2015,profiled_lslb0p5,0.06,2.0,10,-1.9683285029402,-2.0079888630483893,-2.0313526080642577,0.039660360108189296,0.06302410512405765,1.0328205952423153
2015,profiled_lslb0p5,0.06,3.0,10,-2.8212902147482835,-2.8613844576173535,-2.945539445852449,0.04009424286907004,0.12424923110416541,1.0436457746141516
2015,profiled_lslb0p5,0.06,5.0,10,-4.622290830978498,-4.6557519491669686,-4.918656567834588,0.03346111818847053,0.2963657368560897,1.0640684112140177
2015,profiled_lslb0p5,0.075,0.0,10,0.07803067815183273,0.040456802112323324,0.0780306781518327,0.03757387603950941,2.7755575615628914e-17,1.0037469696517625
2015,profiled_lslb0p5,0.075,1.0,10,-0.6252899222277593,-0.657800096456372,-0.6689128894966163,0.0325101742286128,0.04362296726885706,1.0459657127582278
2015,profiled_lslb0p5,0.075,2.0,10,-1.2794371056708245,-1.3206000181282227,-1.4160861089650782,0.041162912457398226,0.13664900329425378,1.0739093035862797
2015,profiled_lslb0p5,0.075,3.0,10,-1.961523415329431,-2.009218976965648,-2.2410968198889067,0.04769556163621713,0.27957340455947577,1.1039753585443204
2015,profiled_lslb0p5,0.075,5.0,10,-3.4338866130443426,-3.4720525216564004,-4.102783219784799,0.03816590861205782,0.6688966067404563,1.1575484171020645
2015,profiled_lslb0p5,0.09,0.0,10,0.5974249096099216,0.5161430469610377,0.5974249096099216,0.08128186264888382,0.0,1.0195947623348993
2015,profiled_lslb0p5,0.09,1.0,10,0.28971514573040896,0.18595614664347318,0.2109948089000254,0.10375899908693578,0.07872033683038357,1.086399832984728
2015,profiled_lslb0p5,0.09,2.0,10,-0.06299084441320155,-0.17064723869154835,-0.3058102767533418,0.1076563942783468,0.24281943234014028,1.138880994580502
2015,profiled_lslb0p5,0.09,3.0,10,-0.4920467288579049,-0.6538203949115775,-1.025528611591699,0.1617736660536726,0.5334818827337942,1.2178256093142017
2015,profiled_lslb0p5,0.09,5.0,10,-1.3402233640657513,-1.5140617982222508,-2.540641113636675,0.17383843415649958,1.2004177495709238,1.3179800699999888
2015,profiled_lslb0p5,0.105,0.0,10,0.23793956488792967,0.1378678657557175,0.2379395648879296,0.10007169913221217,5.551115123125783e-17,1.0129764841296036
2015,profiled_lslb0p5,0.105,1.0,10,-0.01687647427558726,-0.14049684955633185,-0.10645855441238697,0.12362037528074458,0.0895820801367997,1.0990796525839275
2015,profiled_lslb0p5,0.105,2.0,10,-0.342899208154531,-0.4895046939856576,-0.6610384965628358,0.1466054858311266,0.31813928840830474,1.190280325472671
2015,profiled_lslb0p5,0.105,3.0,10,-0.6365590143762605,-0.8075457963827365,-1.2517889440087804,0.170986782006476,0.6152299296325199,1.2597386417385126
2015,profiled_lslb0p5,0.105,5.0,10,-1.2547231944445643,-1.4522870155854302,-2.738857633965841,0.1975638211408659,1.4841344395212768,1.426892583815004
2015,profiled_lslb0p5,0.12,0.0,10,0.45633939361861425,0.32323461586839114,0.4563393936186143,0.1331047777502231,5.551115123125783e-17,1.0202857091789188
2015,profiled_lslb0p5,0.12,1.0,10,0.3302396765034473,0.21829180684060465,0.23985528554145757,0.11194786966284268,0.09038439096198975,1.1001136008820687
2015,profiled_lslb0p5,0.12,2.0,10,0.17125528012901942,-0.0018187049710456852,-0.1564989079729098,0.1730739851000651,0.32775418810192924,1.196619252870154
2015,profiled_lslb0p5,0.12,3.0,10,-0.06782886154452714,-0.2345360502144033,-0.7274946781881204,0.16670718866987616,0.6596658166435933,1.2866394267340833
2015,profiled_lslb0p5,0.12,5.0,10,-0.4494058539942142,-0.7219588899491993,-2.0245442604784523,0.27255303595498515,1.5751384064842382,1.472039195355681
2016,fixed_lslb1p0,0.045,0.0,10,-86.06515925543805,-86.05465045363789,-86.06515925543803,0.010508801800156675,1.4210854715202004e-14,0.9434756373997212
2016,fixed_lslb1p0,0.045,1.0,10,-86.36256551282989,-86.35226231410822,-86.30328523671304,0.010303198721672402,0.05928027611685138,0.9441674254926337
2016,fixed_lslb1p0,0.045,2.0,10,-86.87000905351758,-86.85972582532438,-86.75299349034287,0.010283228193202376,0.11701556317470363,0.9448565187447479
