dataset,mass_GeV,inj_nsigma,toy_index,delta_abs_pull_profiled_minus_fixed,pull_correct_fixed1p0,pull_correct_profiled0p5,A_hat_fixed1p0,A_hat_profiled0p5,sigma_A_fixed1p0,sigma_A_profiled0p5,strength_fixed1p0,strength_profiled0p5
2015,0.03,3.0,3,-20.376433817934664,-24.000434229397634,-3.62400041146297,-44014.34065748689,-65383.96520200261,2097.588808676574,90330.8172790761,6328.701585475752,261974.95378515555
2015,0.03,3.0,9,-32.073642338222065,-35.867867040132936,-3.7942247019108732,-68858.84999782468,-81508.2184579882,2096.725986354103,97805.59075492193,6346.2389003158805,289588.16996932233
2015,0.03,5.0,8,-21.34862158047424,25.341004068902112,-3.9923824884278716,63584.94762115026,73325.14983614116,2098.7304872096465,94008.42566017227,10401.009805241692,448642.7422064863
2015,0.03,5.0,5,-15.822120925702734,19.84110889583239,-4.018987970129658,52066.86498102288,71042.91463674896,2098.9956074079287,93707.7381339167,10420.464562568312,447653.1869050204
2015,0.03,5.0,2,-3.906100350357679,7.892384672206952,-3.986284321849273,27009.42605712301,75619.73506195328,2098.358049594925,94263.8077663386,10448.37714969795,451382.07407872257
2015,0.03,5.0,6,-6.0597122531035215,10.500895362660984,-4.441183109557462,32507.34759529861,29409.08128694192,2100.377769827247,94852.282718947,10451.50041228345,450665.43720129854
2015,0.03,5.0,0,-2.9976034805810317,-7.158935981017822,-4.1613325004367905,-4530.77352076231,64936.20770760187,2098.7674234087604,97101.1793561781,10494.16810246673,469006.50119320775
2015,0.03,5.0,7,-4.398070832789324,-8.213908668523892,-3.8158378357345684,-6741.486878454616,71896.9276280276,2098.6929615791782,85270.34733594143,10496.985431230676,397274.7452587413
2015,0.03,5.0,4,-8.3100961737813,-13.05048928208391,-4.740393108302611,-16880.317332550578,2919.769029315155,2098.8017488635064,95477.72530485968,10510.07239621158,455521.7200608818
2015,0.03,5.0,1,-9.208104971540159,-13.818635170102016,-4.610530198561857,-18483.165553803545,16295.420026014395,2098.3455597131347,94559.36942953496,10513.106196675782,452264.2483378522
2015,0.03,5.0,3,-19.445680399416116,-24.65891069863149,-5.213230299215375,-41203.599621156085,-41563.13436228617,2098.6910666666668,91725.86475021366,10547.83597579292,436624.92297525925
2015,0.03,5.0,9,-31.035140023550994,-36.98103721583671,-5.945897192285715,-67004.2370400227,-104036.62228028734,2097.867115545888,98670.31892013352,10577.064833859802,482646.9499488705
2015,0.045,0.0,0,-7.587926836098727,9.486365953851184,-1.8984391177524576,16823.59317842406,-127500.1498563285,1773.4497340990918,67160.51553303147,0.0,0.0
2015,0.045,0.0,1,-14.50122961545495,-15.445946576752172,-0.9447169612972222,-27380.053637032062,-60640.02283477689,1772.6368209923771,64188.561568228935,0.0,0.0
2015,0.045,0.0,2,-51.8605508035782,52.54395157241701,0.683400768838806,93268.511247524,44006.30028092411,1775.0570418933887,64393.10912057797,0.0,0.0
2015,0.045,0.0,3,-23.121411645368262,23.295551275986565,-0.17413963061830393,41342.92975927789,-11699.10390948366,1774.7135180224243,67182.31724705381,0.0,0.0
2015,0.045,0.0,4,-13.525753418438779,13.685820405547938,-0.16006698710915931,24280.61391377209,-10482.647269572735,1774.1438360486777,65489.12713915198,0.0,0.0
2015,0.045,0.0,5,-30.311869032465637,-30.951803931902475,0.6399348994368382,-54853.11074380094,42279.725083728845,1772.2104619324964,66068.79093629096,0.0,0.0
2015,0.045,0.0,6,-12.987382901764029,-13.434504276949841,0.44712137518581235,-23832.405619572623,29185.26207216811,1773.9698561459322,65273.69008032651,0.0,0.0
2015,0.045,0.0,7,-7.084277684492027,7.635775690175369,-0.5514980056833424,13550.456733114408,-37375.967520949576,1774.6012039810455,67771.71836666623,0.0,0.0
2015,0.045,0.0,8,-2.9583033781158727,3.620629632082931,0.662326253967058,6420.531883046908,43980.115046258936,1773.319155915212,66402.49391117503,0.0,0.0
2015,0.045,0.0,9,-26.944073350033726,28.150530879103126,1.2064575290694008,49976.75285050529,78997.61959104422,1775.3396220177267,65478.98926204134,0.0,0.0
2015,0.045,1.0,2,-51.82622601273817,51.895949605748704,-0.0697235930105352,93889.62387704728,59579.58582291125,1775.5921535632071,65315.85679178168,1743.5829553682695,64133.64203899584
2015,0.045,1.0,9,-27.68175510119698,27.938828149952442,0.2570730487554618,51375.72782595021,82387.56818904282,1775.932558592507,66231.60724767727,1758.253265528815,65361.20698990809
2015,0.045,1.0,3,-21.83674247620564,22.898013900609087,-1.0612714244034482,42410.90036990839,-4738.082041459164,1775.2734985356915,67716.23969787931,1760.6631230552034,67127.22811795455
2015,0.045,1.0,4,-12.243646337313699,13.268069632600563,-1.0244232952868642,25312.524546769164,-2267.9905626745244,1774.6954733041564,66133.51844332805,1765.741430308604,65480.7263299542
2015,0.045,1.0,0,-6.4506811945288085,9.13543741611058,-2.6847562215817717,17974.367942172434,-114272.69326142829,1774.0207476109622,67594.18811229597,1767.9124274907854,67201.22381582696
