mass_GeV,mass_MeV,dataset_set,eps2_observed_2015,eps2_observed_2016,eps2_observed_2021,best_active_individual_dataset,best_active_individual_eps2,combined_observed_eps2,combined_over_best_active_individual_epsilon
0.142,142.0,2016+2021,,4.45385297428807e-05,1.5169431484378827e-05,2021,1.5169431484378827e-05,1.4425255558659458e-05,0.9751627548443305
0.143,143.0,2016+2021,,4.380738655549377e-05,1.5353956561509124e-05,2021,1.5353956561509124e-05,1.4502029430701944e-05,0.9718611850555468
0.144,144.0,2016+2021,,4.4433919504204216e-05,1.5170425866260524e-05,2021,1.5170425866260524e-05,1.4313268531181564e-05,0.9713383222473072
0.145,145.0,2016+2021,,4.317896880975318e-05,1.4181682345096431e-05,2021,1.4181682345096431e-05,1.3238350303631428e-05,0.9661689086049629
0.146,146.0,2016+2021,,4.264084506813125e-05,1.2351308239468135e-05,2021,1.2351308239468135e-05,1.1428540537979268e-05,0.961919893524212
0.147,147.0,2016+2021,,4.230175820352921e-05,1.1738076960563553e-05,2021,1.1738076960563553e-05,1.0763411551898965e-05,0.9575831531099149
0.148,148.0,2016+2021,,4.31241515290308e-05,1.1201396032513295e-05,2021,1.1201396032513295e-05,1.0261446437682207e-05,0.9571240193981274
0.149,149.0,2016+2021,,4.436585052642419e-05,1.0686304527120332e-05,2021,1.0686304527120332e-05,9.827561500880135e-06,0.9589790334376734
0.15,150.0,2016+2021,,4.575978905736849e-05,1.0381556442540732e-05,2021,1.0381556442540732e-05,9.601492527878655e-06,0.9616967301192744
0.151,151.0,2016+2021,,4.923550675942023e-05,1.0783721802307262e-05,2021,1.0783721802307262e-05,1.0050175598064034e-05,0.965389313918488
0.152,152.0,2016+2021,,5.193803315704268e-05,1.1299234048156356e-05,2021,1.1299234048156356e-05,1.0561472892277075e-05,0.966802449497708
0.153,153.0,2016+2021,,5.550791388194733e-05,1.1734416400894168e-05,2021,1.1734416400894168e-05,1.103039756754956e-05,0.9695379997380346
0.154,154.0,2016+2021,,6.0305734330557874e-05,1.1694178783804098e-05,2021,1.1694178783804098e-05,1.1101068264818509e-05,0.9743108122173759
0.155,155.0,2016+2021,,6.786094263101071e-05,1.185178980297265e-05,2021,1.185178980297265e-05,1.1436378349895944e-05,0.9823184184082268
0.156,156.0,2016+2021,,7.607513954409096e-05,1.1958080108037648e-05,2021,1.1958080108037648e-05,1.1672494528724746e-05,0.9879867273200313
0.157,157.0,2016+2021,,8.644877754811798e-05,1.1499985640389658e-05,2021,1.1499985640389658e-05,1.1367702078531305e-05,0.9942318981074093
0.158,158.0,2016+2021,,9.808629677008768e-05,1.0626364492934803e-05,2021,1.0626364492934803e-05,1.061421414853458e-05,0.9994281289891356
0.159,159.0,2016+2021,,0.0001211228872476,1.0222665904025903e-05,2021,1.0222665904025903e-05,1.039425153980874e-05,1.0083574876024517
0.16,160.0,2016+2021,,0.0001345519996889,9.855410269632482e-06,2021,9.855410269632482e-06,1.0068188323401332e-05,1.0107373418609664
0.161,161.0,2016+2021,,0.0001390255016648,9.44123443543526e-06,2021,9.44123443543526e-06,9.61979792544931e-06,1.0094122798620448
0.162,162.0,2016+2021,,0.0001455015894764,9.32405126665101e-06,2021,9.32405126665101e-06,9.504804216167216e-06,1.0096463076900406
0.163,163.0,2016+2021,,0.0001503912221963,9.019463147999811e-06,2021,9.019463147999811e-06,9.184398726107726e-06,1.0091018923741333
0.164,164.0,2016+2021,,0.0001911852031896,9.046256808166291e-06,2021,9.046256808166291e-06,9.234967212415416e-06,1.0103764677459237
0.165,165.0,2016+2021,,0.0001930061127897,9.332282876908448e-06,2021,9.332282876908448e-06,9.600806095974104e-06,1.0142847644202895
0.166,166.0,2016+2021,,0.0001917369467377,9.752663159141036e-06,2021,9.752663159141036e-06,9.98541327215752e-06,1.0118622869691691
0.167,167.0,2016+2021,,0.0001855338058336,9.674600858293726e-06,2021,9.674600858293726e-06,9.850661343511746e-06,1.0090580840264138
0.168,168.0,2016+2021,,0.0001851264400268,9.815836660431323e-06,2021,9.815836660431323e-06,9.989286679070594e-06,1.00879652375318
0.169,169.0,2016+2021,,0.000188626404184,1.0351519766450648e-05,2021,1.0351519766450648e-05,1.056823705884018e-05,1.0104136750230288
0.17,170.0,2016+2021,,0.0001877766550352,1.1080355061906336e-05,2021,1.1080355061906336e-05,1.1303970516907508e-05,1.0100402237319914
0.171,171.0,2016+2021,,0.0001918965455817277,1.1918028436734862e-05,2021,1.1918028436734862e-05,1.213861566597191e-05,1.0092119209405523
0.172,172.0,2016+2021,,0.0001961068280788,1.3280024706389466e-05,2021,1.3280024706389466e-05,1.3517507851477368e-05,1.0089017462964265
0.173,173.0,2016+2021,,0.0001973474474072,1.5911333496136215e-05,2021,1.5911333496136215e-05,1.607604882645592e-05,1.0051627111035308
0.174,174.0,2016+2021,,0.0001870230063619,1.8669929686592057e-05,2021,1.8669929686592057e-05,1.8683176911822923e-05,1.000354711463795
0.175,175.0,2016+2021,,0.0001736950416887,2.243898942363514e-05,2021,2.243898942363514e-05,2.2217671610449777e-05,0.9950562336738684
0.176,176.0,2016+2021,,0.000181012484597,2.5279153033255677e-05,2021,2.5279153033255677e-05,2.4974764981873316e-05,0.9939612316349897
0.177,177.0,2016+2021,,0.0001802207769227,2.792833191307136e-05,2021,2.792833191307136e-05,2.754807856628138e-05,0.9931690057019247
0.178,178.0,2016+2021,,0.0001696329902545,3.005465269013374e-05,2021,3.005465269013374e-05,2.95027947875664e-05,0.9907765577211111
0.179,179.0,2016+2021,,0.0001566770335197,3.067996954665772e-05,2021,3.067996954665772e-05,3.00071785625166e-05,0.9889745579500083
0.18,180.0,2016+2021,,0.0001430056868327,3.097208804990933e-05,2021,3.097208804990933e-05,3.013517379669208e-05,0.9863966931216747
0.181,181.0,2021,,,2.89697232349586e-05,2021,2.89697232349586e-05,2.89697232349586e-05,1.0
0.182,182.0,2021,,,2.542025207015233e-05,2021,2.542025207015233e-05,2.542025207015233e-05,1.0
0.183,183.0,2021,,,2.215303421993459e-05,2021,2.215303421993459e-05,2.215303421993459e-05,1.0
0.184,184.0,2021,,,1.8214400830014307e-05,2021,1.8214400830014307e-05,1.8214400830014307e-05,1.0
0.185,185.0,2021,,,1.545419537750903e-05,2021,1.545419537750903e-05,1.545419537750903e-05,1.0
0.186,186.0,2021,,,1.315413726690728e-05,2021,1.315413726690728e-05,1.315413726690728e-05,1.0
0.187,187.0,2021,,,1.2077015978358623e-05,2021,1.2077015978358623e-05,1.2077015978358623e-05,1.0
0.188,188.0,2021,,,1.1094339174744925e-05,2021,1.1094339174744925e-05,1.1094339174744925e-05,1.0
0.189,189.0,2021,,,1.078845014004989e-05,2021,1.078845014004989e-05,1.078845014004989e-05,1.0
0.19,190.0,2021,,,1.0740464634798474e-05,2021,1.0740464634798474e-05,1.0740464634798474e-05,1.0
0.191,191.0,2021,,,1.0677055713959675e-05,2021,1.0677055713959675e-05,1.0677055713959675e-05,1.0
0.192,192.0,2021,,,1.078024022615115e-05,2021,1.078024022615115e-05,1.078024022615115e-05,1.0
0.193,193.0,2021,,,1.1016060902058693e-05,2021,1.1016060902058693e-05,1.1016060902058693e-05,1.0
0.194,194.0,2021,,,1.1572860223122366e-05,2021,1.1572860223122366e-05,1.1572860223122366e-05,1.0
0.195,195.0,2021,,,1.2248352400794312e-05,2021,1.2248352400794312e-05,1.2248352400794312e-05,1.0
0.196,196.0,2021,,,1.3195373659065455e-05,2021,1.3195373659065455e-05,1.3195373659065455e-05,1.0
0.197,197.0,2021,,,1.4891012946701129e-05,2021,1.4891012946701129e-05,1.4891012946701129e-05,1.0
0.198,198.0,2021,,,1.670523157634935e-05,2021,1.670523157634935e-05,1.670523157634935e-05,1.0
0.199,199.0,2021,,,1.9394573960011643e-05,2021,1.9394573960011643e-05,1.9394573960011643e-05,1.0
0.2,200.0,2021,,,2.1192518486214415e-05,2021,2.1192518486214415e-05,2.1192518486214415e-05,1.0
0.201,201.0,2021,,,2.3856111469966687e-05,2021,2.3856111469966687e-05,2.3856111469966687e-05,1.0
0.202,202.0,2021,,,2.6259691860917492e-05,2021,2.6259691860917492e-05,2.6259691860917492e-05,1.0
0.203,203.0,2021,,,2.925149865814455e-05,2021,2.925149865814455e-05,2.925149865814455e-05,1.0
0.204,204.0,2021,,,3.059282535585147e-05,2021,3.059282535585147e-05,3.059282535585147e-05,1.0
0.205,205.0,2021,,,3.2930442365369194e-05,2021,3.2930442365369194e-05,3.2930442365369194e-05,1.0
0.206,206.0,2021,,,3.4481239022179854e-05,2021,3.4481239022179854e-05,3.4481239022179854e-05,1.0
0.207,207.0,2021,,,3.623953952910306e-05,2021,3.623953952910306e-05,3.623953952910306e-05,1.0
0.208,208.0,2021,,,3.776127508061267e-05,2021,3.776127508061267e-05,3.776127508061267e-05,1.0
0.209,209.0,2021,,,3.909231033588136e-05,2021,3.909231033588136e-05,3.909231033588136e-05,1.0
0.21,210.0,2021,,,3.775997390419252e-05,2021,3.775997390419252e-05,3.775997390419252e-05,1.0
0.211,211.0,2021,,,3.733455199608868e-05,2021,3.733455199608868e-05,3.733455199608868e-05,1.0
0.212,212.0,2021,,,3.923574688027939e-05,2021,3.923574688027939e-05,3.923574688027939e-05,1.0
