mass_GeV,mass_MeV,dataset_set,density_meta_terms,density_current_samples,density_full_campaign_scale,campaign_scale_sqrt_current_over_full,current_candidate_eps2_observed,current_candidate_eps2_expected_median,projected_full_campaign_eps2_observed_equivalent,projected_full_campaign_eps2_expected_median,campaign_scale_2015,campaign_scale_2016,campaign_scale_2021
0.06,60.0,2015+2016+2021,2015:91998666.666666642;2016:144253176.47058824;2021:108547600,344799443.1372549,12389290431.37255,0.1668245879944938,6.453474007517272e-06,8.400260332579715e-06,1.0765981424372437e-06,1.4013699690291003e-06,1.0,10.0,100.0
0.061,61.0,2015+2016+2021,2015:82355714.285714328;2016:144128823.52941164;2021:116607333.33333334,343091871.1484593,13184377282.913164,0.1613152416709081,8.237355244059027e-06,8.413414941663046e-06,1.3288109519245042e-06,1.3572120645920034e-06,1.0,10.0,100.0
0.062,62.0,2015+2016+2021,2015:74066818.181818202;2016:143666705.88235292;2021:120506133.33333334,338239657.39750445,13561347210.338682,0.15792862172167632,1.0758145591599218e-05,8.3567713879675e-06,1.6990191055623925e-06,1.3197733873448474e-06,1.0,10.0,100.0
0.063,63.0,2015+2016+2021,2015:66205727.27272734;2016:142906235.29411751;2021:127856933.33333334,336968895.9001782,14280961413.547235,0.1536088311857136,1.2707299243806687e-05,8.155233867085151e-06,1.9519533843682476e-06,1.2527159423690973e-06,1.0,10.0,100.0
0.064,64.0,2015+2016+2021,2015:59208181.818181768;2016:141688666.66666654;2021:131257199.99999988,332154048.4848482,14601814848.484837,0.15082257682053193,1.300133529317006e-05,8.181009460915814e-06,1.9608948910236343e-06,1.233880927888474e-06,1.0,10.0,100.0
0.065,65.0,2015+2016+2021,2015:53206000.000000052;2016:140523222.22222209;2021:137503333.33333322,331232555.55555534,15208771555.555544,0.14757725885463846,1.3250347873158572e-05,8.2009967674141e-06,1.9554500179911306e-06,1.210280622810724e-06,1.0,10.0,100.0
0.066,66.0,2015+2016+2021,2015:47475913.043478221;2016:139061666.66666654;2021:143006933.33333319,329544513.04347795,15738785913.043463,0.14470096537417484,1.2929357010870554e-05,8.15408160219423e-06,1.8708904411403249e-06,1.1799034795773035e-06,1.0,10.0,100.0
0.067,67.0,2015+2016+2021,2015:42399826.086956538;2016:137287555.55555564;2021:145499466.66666681,325186848.30917895,15965222048.309195,0.14271808341220493,1.154434765939841e-05,8.167882084666079e-06,1.647587172193515e-06,1.1657044766604278e-06,1.0,10.0,100.0
0.068,68.0,2015+2016+2021,2015:38110499.999999985;2016:135254631.57894745;2021:149951200.00000015,323316331.57894754,16385776815.78949,0.14046893951108871,9.365591307379548e-06,8.019546838823056e-06,1.315574678841876e-06,1.1264972398089785e-06,1.0,10.0,100.0
0.069,69.0,2015+2016+2021,2015:34082583.333333343;2016:133220105.26315796;2021:152620800.00000012,319923488.59649146,16628363635.964924,0.1387069770188293,7.188420059991552e-06,7.853308601383325e-06,9.970840160629398e-07,1.0893086956938515e-06,1.0,10.0,100.0
0.07,70.0,2015+2016+2021,2015:30497583.333333343;2016:130986421.05263166;2021:155292799.99999985,316776804.3859649,16869641793.859634,0.13703255527953964,6.0362634082088025e-06,7.87039818740102e-06,8.271645991672351e-07,1.0785007746870189e-06,1.0,10.0,100.0
0.071,71.0,2015+2016+2021,2015:27486880.000000007;2016:128580800.00000024;2021:157073476.92307678,313141156.923077,17020642572.30768,0.13563822567383632,5.345923642280819e-06,7.634098337330592e-06,7.251115974267828e-07,1.0354755530951055e-06,1.0,10.0,100.0
0.072,72.0,2015+2016+2021,2015:24601680.000000004;2016:126101100.00000006;2021:158948000.00000015,309650780.00000024,17180412680.000015,0.13425154531606684,5.106803051489232e-06,7.660620894576936e-06,6.85596201287235e-07,1.028450193177504e-06,1.0,10.0,100.0
0.073,73.0,2015+2016+2021,2015:22031760.00000003;2016:123558499.9999999;2021:160796666.66666684,306386926.66666675,17337283426.666683,0.13293660722997963,5.313594634806888e-06,7.561239719236995e-06,7.063712429466503e-07,1.0051655547279299e-06,1.0,10.0,100.0
0.074,74.0,2015+2016+2021,2015:19867230.769230772;2016:120875200.00000006;2021:161725907.69230783,302468338.4615387,17401210000.000015,0.1318409234354728,5.731716427093388e-06,7.577738802634425e-06,7.55674786618261e-07,9.990560812921365e-07,1.0,10.0,100.0
0.075,75.0,2015+2016+2021,2015:17827538.461538445;2016:118086666.66666672;2021:162529866.66666684,298444071.794872,17451680871.794888,0.13077142221067314,6.828080197742652e-06,7.5095060489604115e-06,8.929177584273409e-07,9.820287861222058e-07,1.0,10.0,100.0
0.076,76.0,2015+2016+2021,2015:16010615.384615405;2016:115279809.52380942;2021:162910276.92307678,294200701.8315016,17459836402.93039,0.12980809221910902,8.79490266560959e-06,7.492418608088286e-06,1.1416495362755374e-06,9.725765656228926e-07,1.0,10.0,100.0
0.077,77.0,2015+2016+2021,2015:14475407.407407409;2016:112458095.23809513;2021:163230646.153846,290164148.79934853,17462120975.17296,0.12890607346025754,1.015678911023815e-05,7.432392512979386e-06,1.3092718031647028e-06,9.580805352635888e-07,1.0,10.0,100.0
