truth_model,study_scenario,background_toy_index,mass_mev,factor_previous,factor_current,lml_previous,lml_current,delta_lml,lml_tolerance,regression_beyond_tolerance
gengamma,2021_10pct_x10,6,230,6,9,1867.5735304766176,1919.097815154152,51.5242846775343,0.001919097815154152,False
gengamma,2021_10pct_x10,6,250,6,9,1856.771080832026,1904.6572297744049,47.886148942378895,0.0019046572297744047,False
gengamma,2021_10pct_x10,7,50,6,9,2042.9936775633653,2051.670930349685,8.677252786319741,0.002051670930349685,False
gengamma,2021_10pct_x10,7,70,6,9,1986.3758410286684,2022.7789164975904,36.403075468922,0.0020227789164975903,False
gengamma,2021_10pct_x10,7,90,6,9,1948.8235549295312,1999.336005491884,50.5124505623528,0.001999336005491884,False
gengamma,2021_10pct_x10,7,110,6,9,1925.858744127438,1983.3582836152164,57.49953948777829,0.001983358283615216,False
gengamma,2021_10pct_x10,7,130,6,9,1914.99985756949,1975.5294821308717,60.52962456138175,0.0019755294821308714,False
gengamma,2021_10pct_x10,7,150,6,9,1894.51746926964,1955.389640194893,60.87217092525293,0.001955389640194893,False
gengamma,2021_10pct_x10,7,170,6,9,1884.8048574611728,1944.242601211979,59.43774375080625,0.001944242601211979,False
gengamma,2021_10pct_x10,7,190,6,9,1872.3259064474105,1929.8506137030415,57.52470725563103,0.0019298506137030414,False
