truth_model,study_scenario,factor,mass_mev,anchor_nsigma,injection_rows,injection_toys,sigma_A_over_anchor_median,sigmaA_ref_over_anchor_median,Ahat_minus_Ainj_over_anchor_sigma_median,pull_mean,pull_width,refit_ls_ratio_median,refit_ls_ratio_max,refit_bound_rows,Nsig_win_median,Nsig_train_median,refit_bound_row_fraction,response_rows,paired_response_mean,paired_response_median,paired_response_std,paired_response_candidate_prefit_sigma_units_median,paired_response_anchor_prefit_sigma_units_median,paired_response_anchor_fitted_sigma_units_median
gengamma,2021_10pct,20,120,3.0,10,10,0.9999994089275623,1.0000007328910594,-0.06174137391862723,-0.16415135653396645,1.6390123990227639,12.243272523301346,12.731162541944434,0,14941.5,295.0,0.0,10.0,0.982353830306326,0.9832845628170497,0.007864266661217449,2.9498687093670277,2.9498536884511486,2.9471904206091315
gengamma,2021_10pct,20,120,5.0,10,10,0.9999983193532231,1.0000007328910594,-0.08384734462921319,-0.20436932606451422,1.627965842859962,12.236407950995552,12.71998922890498,0,24966.0,470.5,0.0,10.0,0.9812912893043257,0.9813701856827233,0.007507221722869694,4.906836036989116,4.906850928413617,4.903122478741234
gengamma,2021_10pct,20,220,0.0,10,10,0.9999995434133246,0.9999975931298232,0.5135630696129702,0.19591010412666798,1.2963005567778596,11.612026700870178,19.978017639675553,0,0.0,0.0,0.0,,,,,,,
gengamma,2021_10pct,20,220,1.0,10,10,1.000001182761495,0.9999975931298232,0.4670825267912826,0.28042640558421106,1.4705689887449032,11.431918131346176,12.118899392845837,0,1925.0,42.5,0.0,10.0,1.2407480071571035,0.966079061067844,0.5752372299610524,0.966080916058603,0.966079061067844,0.9663068630672061
gengamma,2021_10pct,20,220,3.0,10,10,1.000000568599941,0.9999975931298232,0.4714122739336928,0.1969369296756439,1.4631441037768782,11.623854073972748,12.993407112265437,0,5908.5,127.0,0.0,10.0,1.0145431401401683,0.9785777360920838,0.14179161489419734,2.935734267164464,2.9357332082762513,2.9311858579914305
gengamma,2021_10pct,20,220,5.0,10,10,1.000001818046596,0.9999975931298232,0.45073892325797943,0.1675641699865497,1.4198695968423445,11.505673648622183,12.128033551631523,0,9802.5,214.5,0.0,10.0,1.003476179492401,0.9831459918307773,0.07582136360075975,4.915752980753297,4.915729959153886,4.902405460237397
gengamma,2021_10pct,25,60,0.0,10,10,1.0000005060106776,0.9999986554585023,-0.8824059294402872,-0.6276393541856511,1.1550696974684933,8.816996482676261,10.094860456045527,0,0.0,0.0,0.0,,,,,,,
gengamma,2021_10pct,25,60,1.0,10,10,1.0000010838144795,0.9999986554585023,-1.3191854118942055,-0.9216219064648227,1.0729752596342594,8.862138650368582,9.634329483273751,0,6706.0,241.5,0.0,10.0,0.7171605656228335,0.9148779917627583,0.4571899822118522,0.9148897262862017,0.9148779917627583,0.9151066837445474
gengamma,2021_10pct,25,60,3.0,10,10,0.9999904206456958,0.9999986554585023,-1.4257541304299752,-1.258282773690486,0.8358313107618478,8.937161483685905,9.621171265938967,0,19911.5,720.0,0.0,10.0,0.7984613376626951,0.9222170058660506,0.22639823049969418,2.7666783093445293,2.766651017598152,2.767248725743017
gengamma,2021_10pct,25,60,5.0,10,10,0.9999969204761554,0.9999986554585023,-1.3611357297793711,-1.1161738337023641,1.0233533297228388,8.738146574653735,9.610576816371525,0,33197.0,1214.5,0.0,10.0,0.7366827768540085,0.9185161239618642,0.469782487000896,4.592625661605766,4.59258061980932,4.63620568284505
gengamma,2021_10pct,25,120,0.0,10,10,1.0000001887240229,1.0000004435906567,0.009202546090781985,-0.11163916200305886,1.6424298416848213,12.25216147488645,12.749042978757403,0,0.0,0.0,0.0,,,,,,,
gengamma,2021_10pct,25,120,1.0,10,10,0.99999988269648,1.0000004435906567,-0.005708608536287185,-0.1274931095613855,1.6451793112706492,12.249420686412813,12.744280033641704,0,4968.0,94.0,0.0,10.0,0.9839883718462958,0.9820531559753001,0.02485926794082977,0.9820645800694698,0.9820531559753001,0.9818876988255213
gengamma,2021_10pct,25,120,3.0,10,10,0.9999967615577103,1.0000004435906567,-0.06172358965043634,-0.16417854219243372,1.6390034928943837,12.24320167750756,12.731422894766727,0,14941.5,295.0,0.0,10.0,0.982329005316798,0.9832807248312918,0.007840806790875555,2.949850282570173,2.9498421744938748,2.947178922956934
gengamma,2021_10pct,25,120,5.0,10,10,0.9999998563898281,1.0000004435906567,-0.08368712798426445,-0.2043500546357242,1.6279512065260082,12.236323117929643,12.719900597955212,0,24966.0,470.5,0.0,10.0,0.9812886325877048,0.981377531023276,0.007507292828091755,4.906873134942123,4.90688765511638,4.903021503606227
