factor,truth_model,study_scenario,background_toy_index,mass_mev,injection_toy,anchor_nsigma,inj_nsigma,strength,anchor_strength,A_hat,sigmaA_ref,injection_anchor_sigmaA_ref,anchor_sigma_A,sigma_A_over_anchor,sigmaA_ref_over_anchor,Ahat_minus_Ainj_over_anchor_sigma,A_hat_zero,delta_A_hat,paired_response,paired_response_candidate_prefit_sigma_units,paired_response_anchor_prefit_sigma_units,paired_response_anchor_fitted_sigma_units
6,gengamma,2021_10pct,7,220,0,5.0,3.0426028859708096,9955.70021814888,9955.70021814888,12386.436384160805,3272.0997748519167,1991.140043629776,1994.9273543020795,1.644181799599613,1.6433298026024314,1.2184584871073219,2286.726385618024,10099.709998542781,1.0144650579304684,3.0866143129757884,5.072325289652342,5.062695629874773
6,gengamma,2021_10pct,8,60,0,1.0,0.6799819456336796,6804.453717385912,6804.453717385912,10634.303682817728,10006.81527072722,6804.453717385912,6803.710006295815,1.4716877418431804,1.4706272812406709,0.5629061147356168,4268.6623296052,6365.641353212528,0.9355110075843144,0.6361305950989061,0.9355110075843144,0.935613267955583
6,gengamma,2021_10pct,8,60,0,3.0,2.0399458369010386,20413.361152157733,20413.361152157733,23224.964699117412,10006.81527072722,6804.453717385912,6806.246549068811,1.4721877140764463,1.4706272812406709,0.4130916396709645,4268.6623296052,18956.30236951221,0.9286222992977563,1.8943391935059284,2.7858668978932686,2.78513307339795
6,gengamma,2021_10pct,8,60,0,5.0,3.399909728168398,34022.26858692956,34022.26858692956,-123076.5592095554,10006.81527072722,6804.453717385912,84867.3498208729,1.1391071073635841,1.4706272812406709,-1.8511103283897634,4268.6623296052,-127345.2215391606,-3.742996185389096,-12.725849143201591,-18.71498092694548,-1.5005207751619973
6,gengamma,2021_10pct,8,120,0,1.0,0.5513837951477961,5055.0402134625065,5055.0402134625065,9442.549041539003,9167.915810996084,5055.0402134625065,5056.150514744023,1.8139920314483484,1.8136187693582002,0.8677567677786234,4182.371479216294,5260.1775623227095,1.040580755087543,0.5737593658979289,1.040580755087543,1.04035224959853
6,gengamma,2021_10pct,8,120,0,3.0,1.6541513854433885,15165.12064038752,15165.12064038752,18878.375105811865,9167.915810996084,5055.0402134625065,5058.961681687885,1.8135634965216048,1.8136187693582002,0.7339953727788356,4182.371479216294,14696.003626595571,0.9690660546054211,1.6029819568117158,2.9071981638162634,2.9049446410695796
6,gengamma,2021_10pct,8,120,0,5.0,2.756918975738981,25275.201067312533,25275.201067312533,28517.041911278873,9167.915810996084,5055.0402134625065,5061.647917334112,1.8131798310948586,1.8136187693582002,0.6404714229261851,4182.371479216294,24334.67043206258,0.9627884014554366,2.654329613593893,4.813942007277183,4.807657669891677
6,gengamma,2021_10pct,8,220,0,1.0,0.6055715874628217,1975.8609427804383,1975.8609427804383,5315.141324577337,3262.803248512289,1975.8609427804383,1976.7497444513797,1.6520740952311195,1.6513324282430832,1.6892782665939694,3377.0832058216342,1938.0581187557032,0.9808676697806785,0.5939855918800443,0.9808676697806785,0.9804266443922496
6,gengamma,2021_10pct,8,220,0,3.0,1.816714762388465,5927.582828341315,5927.582828341315,9082.15763920856,3262.803248512289,1975.8609427804383,1978.416074484711,1.6521072158780836,1.6513324282430832,1.5944951375755838,3377.0832058216342,5705.074433386926,0.9624622040048908,1.7485192942566234,2.8873866120146725,2.883657541486991
6,gengamma,2021_10pct,8,220,0,5.0,3.027857937314108,9879.304713902193,9879.304713902193,12876.456328744714,3262.803248512289,1975.8609427804383,1979.979748759245,1.6521189411210755,1.6513324282430832,1.5137284190510978,3377.0832058216342,9499.37312292308,0.961542679168052,2.91141463318526,4.807713395840261,4.797712263913742
