variant,dataset,bin_center_MeV,observed,gp_mean_preprofile,in_extraction_window,null_profiled_background,standalone_profiled_background,standalone_profiled_total,shared_profiled_background,shared_profiled_total
common_0p5MeV,2016,33.749999999999993,28464,28545.671226622933,False,,,,,
common_0p5MeV,2016,34.249999999999993,38066,37957.21774324531,False,,,,,
common_0p5MeV,2016,34.749999999999993,49408,49201.603032807914,False,,,,,
common_0p5MeV,2016,35.25,61970,62308.329161828377,False,,,,,
common_0p5MeV,2016,35.75,77078,77246.798062200862,False,,,,,
common_0p5MeV,2016,36.25,94192,93929.834666949915,False,,,,,
common_0p5MeV,2016,36.75,112468,112220.97439371163,False,,,,,
common_0p5MeV,2016,37.25,132073,131944.30580857393,False,,,,,
common_0p5MeV,2016,37.75,153033,152895.59981124834,False,,,,,
common_0p5MeV,2016,38.25,174547,174853.57843420847,False,,,,,
common_0p5MeV,2016,38.75,196771,197590.41070634301,False,,,,,
common_0p5MeV,2016,39.25,220619,220880.80535031311,False,,,,,
common_0p5MeV,2016,39.75,244860,244509.34950157261,False,,,,,
common_0p5MeV,2016,40.25,268236,268275.97999179515,False,,,,,
common_0p5MeV,2016,40.75,291774,291999.65698107146,False,,,,,
common_0p5MeV,2016,41.249999999999993,315966,315520.4333054715,False,,,,,
common_0p5MeV,2016,41.75,338444,338700.18151636998,False,,,,,
common_0p5MeV,2016,42.249999999999993,361974,361422.26474896341,False,,,,,
common_0p5MeV,2016,42.749999999999993,383551,383590.43204171205,False,,,,,
common_0p5MeV,2016,43.25,405161,405127.19204266591,False,,,,,
common_0p5MeV,2016,43.75,425313,425971.87817203213,False,,,,,
common_0p5MeV,2016,44.25,446250,446078.57985447557,False,,,,,
common_0p5MeV,2016,44.75,465783,465414.06931624969,False,,,,,
common_0p5MeV,2016,45.25,484267,483955.82071646262,False,,,,,
common_0p5MeV,2016,45.75,501741,501690.18043127056,False,,,,,
common_0p5MeV,2016,46.25,518246,518610.72827481257,False,,,,,
common_0p5MeV,2016,46.75,536036,534716.84490431671,False,,,,,
common_0p5MeV,2016,47.25,550306,550012.48557356209,False,,,,,
common_0p5MeV,2016,47.75,564891,564505.15616464359,False,,,,,
common_0p5MeV,2016,48.25,577628,578205.06978805747,False,,,,,
common_0p5MeV,2016,48.75,589831,591124.47077024844,False,,,,,
common_0p5MeV,2016,49.249999999999993,603979,603277.10011236416,False,,,,,
common_0p5MeV,2016,49.749999999999993,614562,614677.78586934938,False,,,,,
common_0p5MeV,2016,50.249999999999993,623325,625342.13129130681,False,,,,,
common_0p5MeV,2016,50.75,636859,635286.28781064507,False,,,,,
common_0p5MeV,2016,51.25,643647,644526.79340202501,False,,,,,
common_0p5MeV,2016,51.75,652801,653080.45973428537,False,,,,,
common_0p5MeV,2016,52.25,660988,660964.29682834668,False,,,,,
common_0p5MeV,2016,52.75,668266,668195.46398861392,False,,,,,
common_0p5MeV,2016,53.250000000000007,675210,674791.23999458062,False,,,,,
common_0p5MeV,2016,53.75,680492,680769.00057067256,False,,,,,
common_0p5MeV,2016,54.25,685970,686146.20234600804,False,,,,,
common_0p5MeV,2016,54.75,691192,690940.36942500703,False,,,,,
common_0p5MeV,2016,55.25,695552,695169.07476284239,False,,,,,
common_0p5MeV,2016,55.75,698371,698849.92196328845,False,,,,,
common_0p5MeV,2016,56.249999999999993,701514,702000.51768292009,False,,,,,
common_0p5MeV,2016,56.749999999999993,706938,704638.44403891312,False,,,,,
common_0p5MeV,2016,57.249999999999993,705535,706781.22405883064,False,,,,,
common_0p5MeV,2016,57.75,709338,708446.28303417529,False,,,,,
common_0p5MeV,2016,58.249999999999993,709519,709650.90686359536,False,,,,,
common_0p5MeV,2016,58.75,709935,710412.19865404931,False,,,,,
common_0p5MeV,2016,59.250000000000007,711702,710747.03692753683,True,711285.34445277287,711190.30542817456,711216.73279866681,710842.33399669081,710964.3195443236
common_0p5MeV,2016,59.75,710377,710672.02798797865,True,711275.99751346477,711170.83537254564,711209.72210104659,710786.57531087496,710966.07174897951
common_0p5MeV,2016,60.25,712168,710203.46537541389,True,710870.49024725147,710755.90806230309,710811.1538157796,710337.92833722883,710592.93605712987
common_0p5MeV,2016,60.749999999999993,710453,709357.28892104188,True,710083.91258776351,709960.73657503712,710036.51515937527,709512.05980865599,709861.84459379129
common_0p5MeV,2016,61.249999999999993,709092,708149.04798224545,True,708931.07639350113,708800.23748294043,708900.59368499741,708324.24811653479,708787.48021409998
common_0p5MeV,2016,61.75,706407,706593.86635463091,True,707426.43976903032,707288.95441513718,707417.27376004716,706789.34274258581,707381.64932735544
common_0p5MeV,2016,62.25,705757,704706.41599983466,True,705584.11968044366,705441.0700898536,705599.48289194016,704921.74887122493,705652.96321660315
common_0p5MeV,2016,62.75,703691,702500.8909262995,True,703417.83681665896,703270.35157530603,703459.16752493975,702735.40266497538,703606.95426427666
