mass_GeV,mass_MeV,dataset_set,n_active_datasets,hps_v4p2_eps2_obs_ee_channel,N_eff_BR,BR_ee_minimal,dimuon_correction_applied,hps_v4p2_eps2_obs_minimal_visible,density_2015_counts_per_GeV,density_2016_counts_per_GeV,density_2021_10pct_counts_per_GeV,density_current_counts_per_GeV,density_2021_100pct_equivalent_counts_per_GeV,full2021_projection_scale_eps2,hps_v4p2_projected_full2021_eps2_minimal_visible,gp_state_sha256_by_dataset,babar_visible2014_eps2_90_log_interp,hps_v4p2_observed_over_babar,hps_v4p2_projected_full2021_over_babar,hps_v4p2_observed_below_babar_on_grid,hps_v4p2_projected_full2021_below_babar_on_grid
0.039,39,2015+2016,2,1.1292680637828364e-05,1,1,False,1.1292680637828364e-05,607069903.44101572,423346821.00178927,,1030416724.4428051,1030416724.4428051,1,1.1292680637828364e-05,"{""2015"": ""73c897099b1369d3cd1c013055c35a1aa4ac0a2f2a071996d8eb85433e08e128"", ""2016"": ""f4d09804e8a009030c988d43d1ce5ac60069b4d4bfdba08e8fc46a7f8214fd14""}",1.5144477407712428e-06,7.4566327604526581,7.4566327604526581,False,False
0.040000000000000001,40,2015+2016,2,9.7200892700444884e-06,1,1,False,9.7200892700444884e-06,572175251.61615455,513587375.67197108,,1085762627.2881255,1085762627.2881255,1,9.7200892700444884e-06,"{""2015"": ""36d6c571efc0f7878e56add1c44f97c11d78f4cefdf81516361664484416ebf6"", ""2016"": ""d2f2c51ae91fe3b7c3df977f2126a486f181414d33fc419dac110377c2d42c6b""}",1.682535663463001e-06,5.7770479884144423,5.7770479884144423,False,False
0.041000000000000002,41,2015+2016,2,6.5514894532564812e-06,1,1,False,6.5514894532564812e-06,536941035.2362417,604568032.66780794,,1141509067.9040496,1141509067.9040496,1,6.5514894532564812e-06,"{""2015"": ""09fe335adbfe7cf037828f69e3842991b4664c9cd57bf779a3be74e49aa7738e"", ""2016"": ""d3503e1d1ed4059b5b6e78a18c372807d10e6be2ddc38b5da004606e28993842""}",2.0498181494068578e-06,3.1961320350062477,3.1961320350062477,False,False
0.042000000000000003,42,2015+2016,2,5.0770115567668662e-06,1,1,False,5.0770115567668662e-06,501846452.67817795,694489179.9053719,,1196335632.58355,1196335632.58355,1,5.0770115567668662e-06,"{""2015"": ""7c9cd0053c09557c9728900c3f90345739cf3b040312051649d4b259cd370944"", ""2016"": ""ae52a86ef8581d2c6a5a8da352abd1e41d463b5ef419e194c33bc5d5571faaad""}",2.2816641598102821e-06,2.2251353403337912,2.2251353403337912,False,False
0.042999999999999899,43,2015+2016,2,4.2592766837872852e-06,1,1,False,4.2592766837872852e-06,467028006.50587726,781032039.55401242,,1248060046.0598898,1248060046.0598898,1,4.2592766837872852e-06,"{""2015"": ""fcdfd928f90208f8351034a5ae8569b5852f3ff6fdb536577468d5fd3f9b3e16"", ""2016"": ""4fb0070335f2e649d0158fef3a32aaf018731fca6d9eb018f48ffe2e81dd5ccb""}",2.1207588797534177e-06,2.0083738535530804,2.0083738535530804,False,False
0.0439999999999999,44,2015+2016,2,4.0116806535298649e-06,1,1,False,4.0116806535298649e-06,432783094.09741855,862860675.25917149,,1295643769.35659,1295643769.35659,1,4.0116806535298649e-06,"{""2015"": ""b341e5101610134fde1aa09e0410e69d91977f1189aafc2e34dfb7f9b5ef76f7"", ""2016"": ""2e833ac7cbcdfec8c09ad3fa1f0778a9621925341c0bd14db1020008fb8a08a3""}",1.9677889334739467e-06,2.0386742629188483,2.0386742629188483,False,False
0.044999999999999901,45,2015+2016,2,4.7206215100686364e-06,1,1,False,4.7206215100686364e-06,399895844.01198941,939252500.9158895,,1339148344.9278789,1339148344.9278789,1,4.7206215100686364e-06,"{""2015"": ""36f1e3ecc68c320aee096bba134eeee43f0d9cdfebe5cf1b1ae51335e77b500b"", ""2016"": ""cd8f52407632c6766fc241cc09824c916f4a169cf689d94c95e7526b753f2402""}",1.9860947590050162e-06,2.3768359936831764,2.3768359936831764,False,False
0.045999999999999902,46,2015+2016,2,4.215577280403488e-06,1,1,False,4.215577280403488e-06,368264100.33612728,1009345361.5240134,,1377609461.8601408,1377609461.8601408,1,4.215577280403488e-06,"{""2015"": ""132dc71fa396103819bc1e041aaa1c5ab42b370ebc498fe14a6f48c438d2665b"", ""2016"": ""46f48edf54df6400a2c743d385adec0415c3b6766e19ba37d4b77d9a1ec7ed27""}",1.9579068491048573e-06,2.1531041082627724,2.1531041082627724,False,False
0.047,47,2015+2016,2,4.9789484675808296e-06,1,1,False,4.9789484675808296e-06,338097650.37860322,1073163196.033531,,1411260846.4121342,1411260846.4121342,1,4.9789484675808296e-06,"{""2015"": ""6a0341d49be07f905c9952418dae124f95e13df622de947886d3f9b364fb1bc6"", ""2016"": ""83f4d90a9ed3eed097164928f8361a852a1a5ee327398fcc62da3413446a1f09""}",1.6076523049395438e-06,3.097030652886144,3.097030652886144,False,False
0.048000000000000001,48,2015+2016,2,5.9151536029339561e-06,1,1,False,5.9151536029339561e-06,309695977.16334909,1131056332.9028077,,1440752310.0661569,1440752310.0661569,1,5.9151536029339561e-06,"{""2015"": ""af84d12311a3d411fe8bff296d17d61caded4b558649b5d5e7da8ded237a4f8f"", ""2016"": ""17fad25caac0afc446e5a987f7e5a8958b2fc8d29b4c6e6d77aaea1e39e9fcb0""}",9.8113817918525004e-07,6.0288690506835403,6.0288690506835403,False,False
