group,scope_key,scope_label,dataset_set,source_state,source_file,mass_GeV,mass_MeV,A90_events,eps2_90,p0_local_asymptotic,Z_local_asymptotic,gp_support,edge_diagnostic,yield_coordinate,limit_method,pvalue_method,limit_coordinate
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.057,57.0,8783.12690111952,3.173431588033988e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.058,58.0,8583.391267552866,3.075340484856761e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.0589999999999999,59.0,8576.001092857818,3.0529277834895763e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.0599999999999999,60.0,8997.964766203615,3.1843808158873597e-06,0.4999026019832914,0.000244140625,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.0609999999999999,61.0,9756.586348733312,3.43744551138917e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.062,62.0,10245.520221433091,3.5968653366288507e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.063,63.0,10601.13967626462,3.713569565185732e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.064,64.0,13081.060894639559,4.581046075431191e-06,0.4022552107287502,0.2475140473203705,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.065,65.0,17909.11867642964,6.272781532204174e-06,0.1182161665409691,1.1839513207090937,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.066,66.0,19794.809489993862,6.942026307812595e-06,0.066706868316704,1.500775117082193,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.067,67.0,22360.149670613468,7.861957876986552e-06,0.0339385490705924,1.8258218684838363,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.068,68.0,25246.23228910445,8.914872493113524e-06,0.0120241326491158,2.2563572718092018,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.069,69.0,23931.674694127818,8.491837514572021e-06,0.0169085028798499,2.1222469503843873,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.07,70.0,20653.016413581674,7.373077115340174e-06,0.05297587921931,1.6166596956528798,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.0709999999999999,71.0,14358.300013400347,5.165584268253625e-06,0.2699123855380222,0.6130779925728143,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
