method,mass_MeV,observed_r,asimov_r,response_sd,z_standardized,p_asymptotic,p_local_common_truth,p_global_gp,p_global_gp_low,p_global_gp_high,p_global_direct,p_global_direct_low,p_global_direct_high,p_global_raw_ordering,parent_envelope_p
fixed,152,0.534146962757213,-0.36270368333992375,1.722480557907643,0.5206738862623637,0.2966199300857205,0.3012969843902188,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.3522052812728302
fixed,153,1.0430491327406664,-0.22453439556203225,1.7169799558658871,0.7382634398101903,0.14846276888838744,0.23017718931487557,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.2379187634719538
fixed,154,0.5040060406453883,-0.06263606093430896,1.705504042916634,0.3322431887119221,0.30712856605916194,0.3698528171531905,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.3706181175336802
fixed,155,1.8622133680613897,0.12967613682180712,1.7377333425410002,0.9970098339174297,0.031286510436907104,0.15937986832467615,0.99999,0.9999638770334925,0.999998788951313,1.0,0.9963179161031344,1.0,1.0,0.1490075384139768
fixed,156,2.457371849170868,0.30942689343652086,1.692190521346589,1.269328086074542,0.00699788674707722,0.10216203658921924,0.99874,0.9985745619524401,0.9988906979067257,0.999,0.9944410757201734,0.9999746825125088,1.0,0.1054067609656749
fixed,157,2.6421006509229583,0.5264869821145448,1.7256241374747283,1.2259991169945006,0.004119678327522082,0.11009950365967514,0.99927,0.9991415760299167,0.9993835737076332,1.0,0.9963179161031344,1.0,1.0,0.1007765192580841
fixed,158,2.272395187399877,0.6589599698651031,1.7108518870425085,0.943059553988548,0.011531326067373508,0.17282522108091752,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.1853092293795441
fixed,159,1.8165416693164196,0.7739297316653658,1.7056059450783798,0.6112853561865025,0.03464366099618145,0.270505341918333,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.2827951164923467
fixed,160,2.018373403804838,0.9146975261727757,1.6983126203064807,0.6498661462180567,0.02177619357242538,0.2578893437582537,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.2468575513602721
fixed,161,1.991020351687732,1.0367485182001557,1.7263982274099987,0.5527530197474817,0.023239324927251264,0.2902162711970894,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.2747598117410729
fixed,162,1.2061524165085524,1.1019524551881217,1.7196954052446334,0.060592103114683785,0.11387936361832712,0.4758420313856801,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.465861059982957
fixed,163,1.5324846995106436,1.1211608411779321,1.7121964832612246,0.2402316920714975,0.06270143521679915,0.4050753231033839,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.4188548786137295
fixed,164,1.566019350185218,1.128304732164255,1.7035361047323272,0.2569447262109776,0.05867204358771945,0.3986107214074795,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.3928531859672788
fixed,165,0.9751820836855476,1.1488005435037119,1.7355136933477326,-0.10003865742094006,0.16473497382553864,0.539843182409086,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.5536276348384046
fixed,166,0.5985525933845828,1.0360805120717183,1.6956106680356868,-0.25803560152991856,0.27473563856709704,0.6018102843570716,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.6063749949543336
fixed,167,-0.9749132620647936,0.9453183479555888,1.7321362861589602,-1.1085915267548183,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,168,-2.0358636762683284,0.765946617407179,1.7307682893580714,-1.618824605756255,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,169,-3.356592268665528,0.610942062106332,1.730886736539093,-2.2921975465043674,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,170,-2.7439841781536805,0.49026371904927046,1.7248202200203915,-1.8751217429284974,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,171,-2.837316267935123,0.393552095373877,1.756637426648408,-1.8392346162596365,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,172,-3.131132248761917,0.1526669773530535,1.7560639347405924,-1.869977032812337,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,173,-2.9220930093267916,0.05595927013254514,1.7519497342358645,-1.6998502989346624,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,174,-1.9472158233645196,-0.11974029045376788,1.7478241626255726,-1.0455717296902036,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,175,-0.6438415030581556,-0.25036536148235233,1.7792398824069164,-0.22114844966464972,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,176,-1.0246601702730187,-0.3579463166485576,1.7369084451108283,-0.38385089064491223,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,177,-0.5490896343478358,-0.460510141284508,1.7637841525079618,-0.05022127732431131,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,178,0.3184060427601957,-0.5905251547394363,1.755884686124175,0.5176485703659431,0.3750884775786577,0.30235174360910155,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.360198659712777
fixed,179,0.9417279885192212,-0.6688373199113132,1.7516424408118765,0.9194600855206765,0.17316596084206254,0.17892748690740967,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.2300138633791368
