dataset,mass_GeV,mass_MeV,eps2_observed_raw,p0_analytic,Z_analytic,eps2_observed_v3_review,dimuon_factor,eps2_observed_dimuon_v3_review
2016,0.099,99.0,1.6332846505762776e-05,0.4999827823003121,4.315837287515549e-05,1.6332846505762776e-05,1.0,1.6332846505762776e-05
2016,0.1,100.0,1.5859988619106974e-05,0.5,0.0,1.5859988619106974e-05,1.0,1.5859988619106974e-05
2016,0.101,101.0,1.5520086392611608e-05,0.5,0.0,1.5520086392611608e-05,1.0,1.5520086392611608e-05
2016,0.102,102.0,1.6090910557678103e-05,0.5,0.0,1.6090910557678103e-05,1.0,1.6090910557678103e-05
2016,0.103,103.0,1.6557585758235242e-05,0.5,0.0,1.6557585758235242e-05,1.0,1.6557585758235242e-05
2016,0.104,104.0,1.712278391720655e-05,0.4999827823003121,4.315837287515549e-05,1.712278391720655e-05,1.0,1.712278391720655e-05
2016,0.105,105.0,1.8092848154983047e-05,0.5,0.0,1.8092848154983047e-05,1.0,1.8092848154983047e-05
2016,0.106,106.0,1.940156776983686e-05,0.5,0.0,1.940156776983686e-05,1.0,1.940156776983686e-05
2016,0.107,107.0,1.9916474213371764e-05,0.5,0.0,1.9916474213371764e-05,1.0,1.9916474213371764e-05
2016,0.108,108.0,2.12878365312656e-05,0.4999827823003121,4.315837287515549e-05,2.12878365312656e-05,1.0,2.12878365312656e-05
2016,0.109,109.0,2.2436871895811775e-05,0.5,0.0,2.2436871895811775e-05,1.0,2.2436871895811775e-05
2016,0.11,110.0,2.400843839953053e-05,0.4634178699604058,0.0918266876994875,2.400843839953053e-05,1.0,2.400843839953053e-05
2016,0.111,111.0,2.6356179145555225e-05,0.3849822635153922,0.2924212967461533,2.6356179145555225e-05,1.0,2.6356179145555225e-05
2016,0.112,112.0,2.922059816175299e-05,0.3063295997192684,0.506281284628366,2.922059816175299e-05,1.0,2.922059816175299e-05
2016,0.113,113.0,3.082014243561433e-05,0.2781997115048114,0.5881979652231168,3.082014243561433e-05,1.0,3.082014243561433e-05
2016,0.114,114.0,3.263856182103227e-05,0.2525004376179082,0.6666419364892158,3.263856182103227e-05,1.0,3.263856182103227e-05
2016,0.115,115.0,3.180440641777721e-05,0.2957778959668499,0.5365828516960155,3.180440641777721e-05,1.0,3.180440641777721e-05
2016,0.116,116.0,3.185971440930918e-05,0.3156784099357437,0.4798179896693308,3.185971440930918e-05,1.0,3.185971440930918e-05
2016,0.117,117.0,2.994943467823212e-05,0.408758652348666,0.2307393457493785,2.994943467823212e-05,1.0,2.994943467823212e-05
2016,0.118,118.0,3.007563180845889e-05,0.4232770084287104,0.1935170980150251,3.007563180845889e-05,1.0,3.007563180845889e-05
2016,0.119,119.0,2.9424243526706503e-05,0.4713476459319821,0.0718826572340664,2.9424243526706503e-05,1.0,2.9424243526706503e-05
2016,0.12,120.0,2.8129439736719576e-05,0.5,0.0,2.8129439736719576e-05,1.0,2.8129439736719576e-05
2016,0.121,121.0,2.71886361905997e-05,0.4999878252477924,3.0517578125e-05,2.71886361905997e-05,1.0,2.71886361905997e-05
2016,0.122,122.0,2.7254246158729024e-05,0.4999878252477924,3.0517578125e-05,2.7254246158729024e-05,1.0,2.7254246158729024e-05
2016,0.123,123.0,2.6287642908513404e-05,0.5,0.0,2.6287642908513404e-05,1.0,2.6287642908513404e-05
2016,0.124,124.0,2.6017418983089022e-05,0.5,0.0,2.6017418983089022e-05,1.0,2.6017418983089022e-05
2016,0.125,125.0,2.7510491243897265e-05,0.5,0.0,2.7510491243897265e-05,1.0,2.7510491243897265e-05
2016,0.126,126.0,2.959647930639294e-05,0.5,0.0,2.959647930639294e-05,1.0,2.959647930639294e-05
2016,0.127,127.0,3.195343171776456e-05,0.5,0.0,3.195343171776456e-05,1.0,3.195343171776456e-05
2016,0.128,128.0,3.468669722025559e-05,0.4930454724569981,0.0174332983900962,3.468669722025559e-05,1.0,3.468669722025559e-05
2016,0.129,129.0,3.726888333261365e-05,0.4454731863397499,0.137106806236505,3.726888333261365e-05,1.0,3.726888333261365e-05
2016,0.13,130.0,4.0595083078781607e-05,0.384114308778513,0.2946927296727132,4.0595083078781607e-05,1.0,4.0595083078781607e-05
2016,0.131,131.0,4.391389328836397e-05,0.3351200655765212,0.4258184646389281,4.391389328836397e-05,1.0,4.391389328836397e-05
2016,0.132,132.0,4.930512520460558e-05,0.2587690627977527,0.6471449658519545,4.930512520460558e-05,1.0,4.930512520460558e-05
