mass_GeV,mass_MeV,dataset_set,band_eps2_obs_raw,scan_eps2_obs,eps2_obs_used,band_A_obs_raw,scan_A_obs,A_obs_used,scan_over_band,hard_mismatch,plotted_value_changed,observed_source_used,repair_type,column,raw_value,corrected_value,raw_over_log_linear_neighbors,detection_min_band_ratio,correction
0.079,79.0,2021,,,,,,,,,,,2021_expected_A,A_hi1,24701.31970803316,4929.527746964517,5.010889678680403,4.974052156232514,log_linear_neighbors_same_dataset_set
0.079,79.0,2021,,,,,,,,,,,2021_expected_A,A_hi2,34307.58478864833,6756.080421498568,5.078030847512996,4.974052156232514,log_linear_neighbors_same_dataset_set
0.079,79.0,2021,,,,,,,,,,,2021_expected_A,A_lo1,12938.344701575244,2591.7338520490057,4.992157929853131,4.974052156232514,log_linear_neighbors_same_dataset_set
0.079,79.0,2021,,,,,,,,,,,2021_expected_A,A_lo2,11007.145235787064,2212.913111897118,4.974052156232514,4.974052156232514,log_linear_neighbors_same_dataset_set
0.079,79.0,2021,,,,,,,,,,,2021_expected_A,A_mean,18650.67126622389,3720.8160434167926,5.012521728727321,4.974052156232514,log_linear_neighbors_same_dataset_set
0.079,79.0,2021,,,,,,,,,,,2021_expected_A,A_med,17121.985302196175,3407.437974763051,5.0248853916076985,4.974052156232514,log_linear_neighbors_same_dataset_set
0.079,79.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_mean,18650.67126622389,3720.8160434167926,5.012521728727321,4.974052156232514,log_linear_neighbors_same_dataset_set
0.079,79.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_q02,11007.145235787064,2212.913111897118,4.974052156232514,4.974052156232514,log_linear_neighbors_same_dataset_set
0.079,79.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_q16,12938.344701575244,2591.7338520490057,4.992157929853131,4.974052156232514,log_linear_neighbors_same_dataset_set
0.079,79.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_q50,17121.985302196175,3407.437974763051,5.0248853916076985,4.974052156232514,log_linear_neighbors_same_dataset_set
0.079,79.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_q84,24701.31970803316,4929.527746964517,5.010889678680403,4.974052156232514,log_linear_neighbors_same_dataset_set
0.079,79.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_q97,34307.58478864833,6756.080421498568,5.078030847512996,4.974052156232514,log_linear_neighbors_same_dataset_set
0.173,173.0,2021,,,,,,,,,,,2021_expected_A,A_hi1,9751.611952435764,2392.2523777017122,4.076330759802335,4.017602034503859,log_linear_neighbors_same_dataset_set
0.173,173.0,2021,,,,,,,,,,,2021_expected_A,A_hi2,13219.101547979497,3273.760546470202,4.037895062982677,4.017602034503859,log_linear_neighbors_same_dataset_set
0.173,173.0,2021,,,,,,,,,,,2021_expected_A,A_lo1,5073.2882093260505,1262.765242987179,4.017602034503859,4.017602034503859,log_linear_neighbors_same_dataset_set
0.173,173.0,2021,,,,,,,,,,,2021_expected_A,A_lo2,4328.735925853215,1065.7468464220701,4.061692455751256,4.017602034503859,log_linear_neighbors_same_dataset_set
0.173,173.0,2021,,,,,,,,,,,2021_expected_A,A_mean,7327.3381720295265,1808.5179740751923,4.051570555043253,4.017602034503859,log_linear_neighbors_same_dataset_set
0.173,173.0,2021,,,,,,,,,,,2021_expected_A,A_med,6734.159109016892,1657.2217836331558,4.063523166014315,4.017602034503859,log_linear_neighbors_same_dataset_set
0.173,173.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_mean,7327.3381720295265,1808.5179740751923,4.051570555043253,4.017602034503859,log_linear_neighbors_same_dataset_set
0.173,173.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_q02,4328.735925853215,1065.7468464220701,4.061692455751256,4.017602034503859,log_linear_neighbors_same_dataset_set
0.173,173.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_q16,5073.2882093260505,1262.765242987179,4.017602034503859,4.017602034503859,log_linear_neighbors_same_dataset_set
0.173,173.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_q50,6734.159109016892,1657.2217836331558,4.063523166014315,4.017602034503859,log_linear_neighbors_same_dataset_set
0.173,173.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_q84,9751.611952435764,2392.2523777017122,4.076330759802335,4.017602034503859,log_linear_neighbors_same_dataset_set
0.173,173.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_q97,13219.101547979497,3273.760546470202,4.037895062982677,4.017602034503859,log_linear_neighbors_same_dataset_set
0.181,181.0,2021,,,,,,,,,,,2021_expected_A,A_hi1,8582.716724958704,2228.818701400944,3.8507917757348142,3.8507917757348142,log_linear_neighbors_same_dataset_set
0.181,181.0,2021,,,,,,,,,,,2021_expected_A,A_hi2,11830.30646138061,3069.274238987844,3.854431223871965,3.8507917757348142,log_linear_neighbors_same_dataset_set
0.181,181.0,2021,,,,,,,,,,,2021_expected_A,A_lo1,4520.718201230883,1160.77980715344,3.894552759594398,3.8507917757348142,log_linear_neighbors_same_dataset_set
0.181,181.0,2021,,,,,,,,,,,2021_expected_A,A_lo2,3831.5371569709264,987.2578144099748,3.880989444748845,3.8507917757348142,log_linear_neighbors_same_dataset_set
0.181,181.0,2021,,,,,,,,,,,2021_expected_A,A_mean,6502.728283956039,1679.5166925872209,3.8717854443821427,3.8507917757348142,log_linear_neighbors_same_dataset_set
0.181,181.0,2021,,,,,,,,,,,2021_expected_A,A_med,5975.739408612801,1544.5853393695859,3.8688308481885283,3.8507917757348142,log_linear_neighbors_same_dataset_set
0.181,181.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_mean,6502.728283956039,1679.5166925872209,3.8717854443821427,3.8507917757348142,log_linear_neighbors_same_dataset_set
0.181,181.0,2021,,,,,,,,,,,2021_expected_A,toy_A_uls_q02,3831.5371569709264,987.2578144099748,3.880989444748845,3.8507917757348142,log_linear_neighbors_same_dataset_set
