stage,region,support_lower_MeV,anchor_GeV,block,seed,success,lml,const_opt,length_opt,warning_text,error_text
development,low,31.0,0.1,L1,9049,True,51.733150277888306,83.20669062807931,0.48898070173970687,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.48898070173970687. Increasing the bound and calling fit again may find a better value.,
development,low,31.0,0.1,L2,1961,True,50.990760383800755,81.02029901009753,0.47708062542563057,,
development,low,31.0,0.1,L2,5813,True,50.99076038401551,81.01935834679233,0.47707968284321,,
development,low,31.0,0.1,L2,9049,True,50.990760384133274,81.01826461313628,0.4770773455988739,,
development,low,31.0,0.1,L3,1961,True,51.78383748876182,71.42705132463216,0.48898070173970687,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.48898070173970687. Increasing the bound and calling fit again may find a better value.,
development,low,31.0,0.1,L3,5813,True,51.7838374889249,71.42699345765101,0.48898070173970687,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.48898070173970687. Increasing the bound and calling fit again may find a better value.,
development,low,31.0,0.1,L3,9049,True,51.783837488892075,71.42734545096793,0.48898070173970687,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.48898070173970687. Increasing the bound and calling fit again may find a better value.",
development,low,31.0,0.1,L4,1961,True,49.00122745718197,58.8793695587503,0.4612249781128057,,
development,low,31.0,0.1,L4,5813,True,49.0012274571025,58.87940354629287,0.46122467960055896,,
development,low,31.0,0.1,L4,9049,True,49.00122745736675,58.87918547833184,0.4612244155678498,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
development,low,31.0,0.14,L1,1961,True,51.733151827070365,83.35621938223102,0.4893058636979014,,
development,low,31.0,0.14,L1,5813,True,51.733151826911815,83.35623555344932,0.4893062944206322,,
development,low,31.0,0.14,L1,9049,True,51.73315182673951,83.35585396008612,0.48930594575799785,,
development,low,31.0,0.14,L2,1961,True,50.990760384013605,81.01928064456919,0.4770797511045201,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
development,low,31.0,0.14,L2,5813,True,50.99076038396267,81.01972008076929,0.4770802622667227,,
development,low,31.0,0.14,L2,9049,True,50.99076038446584,81.01963729770286,0.47708025322070186,,
development,low,31.0,0.14,L3,1961,True,51.786077047625454,76.16951726811028,0.5000764500535799,,
development,low,31.0,0.14,L3,5813,True,51.78607704764329,76.16933137463562,0.5000762101680893,,
development,low,31.0,0.14,L3,9049,True,51.78607704764755,76.16946286366567,0.50007621302672,,
development,low,31.0,0.14,L4,1961,True,49.00122745709123,58.87910415903579,0.4612246409410508,,
development,low,31.0,0.14,L4,5813,True,49.00122745703226,58.87926518762141,0.4612243324847286,,
development,low,31.0,0.14,L4,9049,True,49.001227457118134,58.87933105471642,0.46122473746841464,,
development,low,31.0,0.18,L1,1961,True,51.733151826886434,83.35618489504063,0.48930627956376455,,
development,low,31.0,0.18,L1,5813,True,51.73315182670704,83.35617548959733,0.4893064451917614,,
development,low,31.0,0.18,L1,9049,True,51.73315182687981,83.35625680658883,0.48930633781043825,,
development,low,31.0,0.18,L2,1961,True,50.99076038447664,81.01943335825337,0.4770798897506549,,
development,low,31.0,0.18,L2,5813,True,50.99076038387647,81.01947138872694,0.4770799695337183,,
development,low,31.0,0.18,L2,9049,True,50.99076038421445,81.01948271511837,0.47707998226110165,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
development,low,31.0,0.18,L3,1961,True,51.78607704754111,76.16854371684768,0.5000752992011499,,
development,low,31.0,0.18,L3,5813,True,51.78607704773788,76.16952456120531,0.500076382817911,,
