scope_key,selected_scope_key,mass_MeV,mass_GeV,dataset_set,sigma_by_dataset_GeV,sigma_effective_GeV,next_mass_step_GeV,next_interval_sigma_mid_GeV,N_eff_next_interval_contribution,independence_width_sigma,p0_local_asymptotic,is_scope_scan_minimum,report_target_toys
final_total_search_window,pair_2016_2021,121,0.121,2016+2021,"{""2016"":0.00518915072209,""2021"":0.002939170875}",0.002939170875,0.0010000000000000009,0.0029489171875,0.15071445421674623,2.25,0.0473246773557062,False,300
final_total_search_window,pair_2016_2021,122,0.122,2016+2021,"{""2016"":0.00523939282384,""2021"":0.0029586635}",0.0029586635,0.0010000000000000009,0.0029684956875000003,0.14972042786383358,2.25,0.0520763538879389,False,300
final_total_search_window,pair_2016_2021,123,0.123,2016+2021,"{""2016"":0.00528966524849,""2021"":0.002978327875}",0.002978327875,0.0010000000000000009,0.0029882459375,0.14873087882996405,2.25,0.0552681429599051,False,300
final_total_search_window,pair_2016_2021,124,0.124,2016+2021,"{""2016"":0.005339956272640001,""2021"":0.002998164}",0.002998164,0.0010000000000000009,0.0030081679375000003,0.14774588842064765,2.25,0.0844247724824917,False,300
final_total_search_window,pair_2016_2021,125,0.125,2016+2021,"{""2016"":0.00539025390625,""2021"":0.0030181718750000005}",0.0030181718750000005,0.0010000000000000009,0.0030282616875000005,0.14676553425980784,2.25,0.1182006325254502,False,300
final_total_search_window,pair_2016_2021,126,0.126,2016+2021,"{""2016"":0.00544054589264,""2021"":0.0030383515000000005}",0.0030383515000000005,0.0010000000000000009,0.0030485271875000004,0.14578989036634424,2.25,0.1375108783799273,False,300
final_total_search_window,pair_2016_2021,127,0.127,2016+2021,"{""2016"":0.00549081970849,""2021"":0.0030587028750000004}",0.0030587028750000004,0.0010000000000000009,0.0030689644375,0.14481902723072684,2.25,0.2244259013935072,False,300
final_total_search_window,pair_2016_2021,128,0.128,2016+2021,"{""2016"":0.005541062563840002,""2021"":0.003079226}",0.003079226,0.0010000000000000009,0.0030895734375,0.14385301189153069,2.25,0.2567281432060465,False,300
final_total_search_window,pair_2016_2021,129,0.129,2016+2021,"{""2016"":0.00559126140209,""2021"":0.0030999208750000003}",0.0030999208750000003,0.0010000000000000009,0.0031103541875000004,0.14289190801182503,2.25,0.246960349716265,False,300
final_total_search_window,pair_2016_2021,130,0.13,2016+2021,"{""2016"":0.0056414029,""2021"":0.0031207875000000005}",0.0031207875000000005,0.0010000000000000009,0.0031313066875000004,0.14193577595533582,2.25,0.3141450155997226,False,300
