scope_key,scope_label,dataset_set,mass_MeV,mass_GeV,n_toys,toy_id_min,toy_id_max,eps2_observed,expected_q025,expected_q16,expected_median,expected_q84,expected_q975,expected_mean,expected_std,observed_empirical_cdf,quantile_method,conditional_on_frozen_gp,gp_refit_per_toy
individual_2015_full,2015 full,2015,48,0.048,300,0,299,1.2699075567649636e-05,4.336424632381402e-06,6.0555309965323925e-06,8.680171977190106e-06,1.2060601524360619e-05,1.7379419728840328e-05,9.117612263279533e-06,3.218251658086629e-06,0.8633333333333333,linear,True,False
individual_2015_full,2015 full,2015,49,0.049,300,0,299,1.959028266321166e-05,4.857818773340703e-06,6.665761909813695e-06,8.82779734064202e-06,1.3188590946405662e-05,1.7977720234030162e-05,9.78553578836462e-06,3.505664895746069e-06,0.9866666666666667,linear,True,False
individual_2015_full,2015 full,2015,50,0.05,300,0,299,2.4600041512683968e-05,5.057196849285511e-06,6.7330426444127285e-06,9.098484791345014e-06,1.3103815802359267e-05,1.9035667386210426e-05,9.871960884577381e-06,3.550908203816073e-06,1.0,linear,True,False
individual_2015_full,2015 full,2015,51,0.051,300,0,299,2.6396501975452937e-05,5.0207711834621366e-06,6.792204597672751e-06,9.782513346506927e-06,1.3441000527666639e-05,1.8738073649115336e-05,1.022346208025848e-05,3.574848072641396e-06,1.0,linear,True,False
individual_2015_full,2015 full,2015,52,0.052,300,0,299,2.112987415099241e-05,5.27543456547478e-06,6.94591925509826e-06,9.746143554235103e-06,1.4052509920334604e-05,1.9050423377764307e-05,1.050134389265622e-05,3.832615098464489e-06,0.9933333333333333,linear,True,False
individual_2015_full,2015 full,2015,53,0.053,300,0,299,1.3931219940487204e-05,5.385207650632951e-06,7.138698022390976e-06,1.0264122375193677e-05,1.4973181145070038e-05,2.173747166953314e-05,1.097835940814707e-05,4.0538383951738405e-06,0.8033333333333333,linear,True,False
individual_2015_full,2015 full,2015,54,0.054,300,0,299,8.595411764451371e-06,5.7788531366424754e-06,7.64253492069834e-06,1.0810338634952685e-05,1.4985486912042152e-05,1.9962255432495925e-05,1.1336761792399916e-05,3.745018249927859e-06,0.24666666666666667,linear,True,False
individual_2015_full,2015 full,2015,55,0.055,300,0,299,5.880489423159788e-06,5.979366730490817e-06,7.965383495072142e-06,1.17496606148805e-05,1.6556091075536204e-05,2.1974058317473853e-05,1.232500494693653e-05,4.298575283709203e-06,0.023333333333333334,linear,True,False
individual_2015_full,2015 full,2015,56,0.056,300,0,299,4.862577527049574e-06,6.4626555468195004e-06,8.21322087124901e-06,1.1977248752756043e-05,1.653819216917438e-05,2.254099025856175e-05,1.2609556724332873e-05,4.358051439108134e-06,0.0,linear,True,False
individual_2015_full,2015 full,2015,57,0.057,300,0,299,4.840915191776256e-06,6.560676614182915e-06,9.002945572803115e-06,1.2150444059530504e-05,1.710642973215353e-05,2.3302376064897394e-05,1.2994831410150168e-05,4.425575197109685e-06,0.0,linear,True,False
individual_2015_full,2015 full,2015,58,0.058,300,0,299,5.283110366417453e-06,5.9149948901833284e-06,8.747333921863086e-06,1.2226262689522488e-05,1.8945665192664662e-05,2.4836049708989424e-05,1.3520328982805796e-05,5.065936161824527e-06,0.006666666666666667,linear,True,False
individual_2015_full,2015 full,2015,59,0.059,300,0,299,6.560630951998236e-06,6.886483965650752e-06,8.784091161586417e-06,1.2964476323550479e-05,1.8434812165816367e-05,2.3615373984216916e-05,1.346295350743547e-05,4.6380083416029816e-06,0.02,linear,True,False
