scope_key,scope_label,dataset_set,mass_MeV,mass_GeV,n_toys,toy_id_min,toy_id_max,eps2_observed,expected_q025,expected_q16,expected_median,expected_q84,expected_q975,expected_mean,expected_std,observed_empirical_cdf,quantile_method,conditional_on_frozen_gp,gp_refit_per_toy
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,70,0.07,100,0,99,1.34400194810712e-06,1.3793432778641695e-06,1.911856428193536e-06,2.6346000166925606e-06,3.721154529017088e-06,4.929361381106981e-06,2.7904447212030113e-06,9.667754702323381e-07,0.03,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,71,0.071,100,0,99,9.587545144076227e-07,1.3736074067643774e-06,1.6249807148334178e-06,2.4311246510819086e-06,3.463019653753076e-06,4.386412821742242e-06,2.5741465909560968e-06,8.482243014194675e-07,0.0,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,72,0.072,100,0,99,8.004291009961892e-07,1.3723327707128594e-06,1.6017798212945517e-06,2.421000745916382e-06,3.216528910371341e-06,3.996594636877302e-06,2.443903798494374e-06,7.780811125814425e-07,0.0,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,73,0.073,100,0,99,8.932245805487365e-07,1.2744052532634223e-06,1.5248348145204305e-06,2.387531636315396e-06,3.554313432254249e-06,4.5347425456626005e-06,2.533593849290266e-06,9.339244696209993e-07,0.0,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,74,0.074,100,0,99,1.3894398453086273e-06,1.211837597492381e-06,1.6408084184603574e-06,2.1958748972437552e-06,3.0687078706602684e-06,4.6090625878876265e-06,2.3381602042835896e-06,8.136186710096922e-07,0.07,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,75,0.075,100,0,99,1.7936324476854336e-06,1.3902124914217817e-06,1.609840835104935e-06,2.3162775060380725e-06,3.2934894092620956e-06,4.220809835611961e-06,2.4869775151809833e-06,8.552526469677742e-07,0.22,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,76,0.076,100,0,99,2.3843112385204307e-06,1.0049474345900942e-06,1.5966775009964072e-06,2.118252314711375e-06,3.3404465166550288e-06,4.6427738684396265e-06,2.364507039462626e-06,9.232651290284241e-07,0.61,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,77,0.077,100,0,99,3.04474704411804e-06,9.967300069194792e-07,1.5556481379236386e-06,2.2140067148203335e-06,3.1591602603804296e-06,3.9825381342449366e-06,2.3384625806956092e-06,7.947765431619446e-07,0.81,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,78,0.078,100,0,99,3.730359567878903e-06,1.040363173446227e-06,1.4726436824971505e-06,2.000672866755164e-06,3.2221131980940603e-06,4.0105142852482315e-06,2.2617703669564653e-06,9.135865538984517e-07,0.91,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,79,0.079,100,0,99,4.141859912728571e-06,1.2020741284979839e-06,1.447434371071676e-06,2.0579314495143284e-06,3.1362664303166996e-06,3.988767030531095e-06,2.245314156456575e-06,8.011814331208978e-07,0.98,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,80,0.08,100,0,99,3.9026189083612495e-06,1.233273958511163e-06,1.5603249037382944e-06,2.0723618536815264e-06,2.9535760765943465e-06,4.0447936364133995e-06,2.2432996476323464e-06,7.700247799257021e-07,0.94,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,81,0.081,100,0,99,3.507550391398093e-06,9.788289822029668e-07,1.324166130509234e-06,2.045055707908748e-06,3.0119590396045912e-06,4.149593267338373e-06,2.2016826140904532e-06,8.968576597106974e-07,0.94,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,82,0.082,100,0,99,2.3693916456611577e-06,1.1268144252524862e-06,1.478251857581887e-06,2.054420218802879e-06,2.8340903749428643e-06,4.224315609035068e-06,2.2219594685249e-06,8.00934967878388e-07,0.67,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,83,0.083,100,0,99,1.6675718483913278e-06,1.1282733785767435e-06,1.512634054709093e-06,2.2274586883635147e-06,3.0650573032651784e-06,3.98440121150506e-06,2.288036905546848e-06,8.055232258833058e-07,0.24,linear,True,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,84,0.084,100,0,99,1.322158868955613e-06,1.146319593781615e-06,1.4884945847454323e-06,2.106801298280172e-06,3.167921930189901e-06,4.327784581263148e-06,2.3072647671917036e-06,8.447920897282977e-07,0.1,linear,True,False
