mass_MeV,old_gp_mean_counts_per_0p625MeV,old_gp_pointwise_std_counts_per_0p625MeV,new_gp_mean_counts_per_0p625MeV,new_gp_pointwise_std_counts_per_0p625MeV,delta_gp_mean_new_minus_old_counts_per_0p625MeV
60.385627551406259,788981.46870144014,484.1546026688477,790029.19752774935,480.12836232335923,1047.728826309205
60.386582315000005,789026.20862268435,484.23393865529891,790074.32019048801,480.22113884321379,1048.1115678036585
60.387537078593752,789070.94639611768,484.31331946513706,790119.44047490484,480.31394495668167,1048.4940787871601
60.388491842187506,789115.68227368826,484.39269928968781,790164.55902417237,480.4067207354048,1048.8767504841089
60.389446605781259,789160.41613991442,484.47202339839123,790209.67543525971,480.49951225602092,1049.259295345284
60.390401369375006,789205.14829281822,484.55138331647589,790254.79004099837,480.59231971814233,1049.6417481801473
60.391356132968752,789249.87822644855,484.63073306378794,790299.90251874633,480.68509676094334,1050.0242922977777
60.392310896562499,789294.60614687297,484.71005450379391,790345.01299440162,480.77791732230673,1050.4068475286476
60.39326566015626,789339.33205345611,484.78933850870743,790390.12167430704,480.87069858442743,1050.7896208509337
60.394220423750006,789384.05619833409,484.8686675656536,790435.22804027819,480.96347687467318,1051.1718419441022
60.395175187343753,789428.77821331937,484.94805028774022,790480.33258627669,481.05628955727315,1051.5543729573255
60.3961299509375,789473.49818956864,485.02732251509991,790525.43503558123,481.14909031304177,1051.9368460125988
60.39708471453126,789518.21663204313,485.10661239685851,790570.53564065672,481.24191621145769,1052.3190086135874
60.398039478125007,789562.93262105668,485.18597414372408,790615.63403270103,481.3347116593954,1052.7014116443461
60.398994241718754,789607.64677633683,485.26533509214261,790660.73059074173,481.42750010628248,1053.0838144049048
60.399949005312507,789652.3590742473,485.344603940453,790705.82524517295,481.52034580492966,1053.466170925647
60.400903768906254,789697.06910058344,485.42393562941191,790750.91758105299,481.61312870789993,1053.8484804695472
60.401858532500007,789741.77733726322,485.50319367098803,790796.00809258001,481.7059506000648,1054.2307553167921
60.402813296093754,789786.48385272082,485.5824873621288,790841.09662953869,481.79880676992684,1054.6127768178703
60.403768059687508,789831.18802573089,485.66182558541362,790886.18328331609,481.89160964825402,1054.995257585193
60.404722823281254,789875.89024635067,485.74110818300176,790931.26776561106,481.98444682797123,1055.3775192603935
60.405677586875008,789920.59085885272,485.82040838344443,790976.35029442259,482.07726742846046,1055.7594355698675
60.406632350468755,789965.28901198204,485.89968003310884,791021.4306504312,482.17009451689239,1056.1416384491604
60.407587114062508,790009.98539484933,485.97899656119927,791066.50935098564,482.26291918800791,1056.5239561363123
60.408541877656255,790054.67984584509,486.05824850871113,791111.58583142981,482.35576875711888,1056.9059855847154
60.409496641250001,790099.37259436643,486.13753610778565,791156.66026376153,482.44860644980292,1057.2876693950966
60.410451404843755,790144.06285795546,486.21684076706197,791201.7327855227,482.54146936915589,1057.6699275672436
60.411406168437509,790188.75132579671,486.29610816858985,791246.80320033361,482.63432484245152,1058.0518745369045
60.412360932031255,790233.43790529273,486.37532001565796,791291.87166871829,482.72712242403821,1058.4337634255644
60.413315695625002,790278.12227392569,486.45462207634182,791336.93815556704,482.8199634796876,1058.8158816413488
60.414270459218756,790322.80489098455,486.53388691328189,791382.00259114662,482.91283874263104,1059.1977001620689
60.415225222812509,790367.48566389247,486.61314198232964,791427.06512450136,483.0056976183858,1059.5794606088893
60.416179986406256,790412.16433899535,486.69236860205143,791472.12557074928,483.09856317673132,1059.9612317539286
60.417134750000002,790456.84063965001,486.77166707521775,791517.18417112157,483.1914352763925,1060.3435314715607
60.418089513593756,790501.51532429131,486.85088281667504,791562.24054485851,483.28425855585107,1060.7252205671975
60.41904427718751,790546.18795532163,486.93019796258625,791607.29491023521,483.37716211975072,1061.1069549135864
60.419999040781256,790590.85869303148,487.00938461730607,791652.34731261537,483.47001242366468,1061.4886195838917
60.420953804375003,790635.52723779588,487.08863410927597,791697.39791268739,483.56285102384663,1061.8706748915138
60.421908567968757,790680.19395711913,487.16790120683788,791742.4462029424,483.65572840853235,1062.2522458232706
60.42286333156251,790724.85885036143,487.2471126797127,791787.49257443484,483.74863070790065,1062.6337240734138
60.423818095156257,790769.5215257227,487.32633225920722,791832.53703802312,483.84148440556396,1063.0155123004224
60.424772858750003,790814.18232775526,487.40552368898352,791877.57948940818,483.93433548535762,1063.3971616529161
60.425727622343757,790858.84095671424,487.48481441949104,791922.61982426164,484.02722071035299,1063.7788675474003
60.426682385937504,790903.49796425703,487.56399510768063,791967.65804192529,484.12013086746066,1064.1600776682608
60.427637149531257,790948.15263632836,487.6432476415647,792012.69437219633,484.21297418728892,1064.5417358679697
60.428591913125004,790992.80559373414,487.72244478172871,792057.72884912381,484.30588848208191,1064.9232553896727
60.429546676718758,791037.45649059955,487.80164115393347,792102.76112622314,484.39874481997413,1065.3046356235864
60.430501440312504,791082.1051651492,487.88087283085906,792147.79143345763,484.49168139690778,1065.6862683084328
60.431456203906258,791126.75207716774,487.96005820955764,792192.81983926659,484.58453260085111,1066.0677620988572
60.432410967500005,791171.39713399613,488.03924280669474,792237.84597418772,484.6774086421899,1066.4488401915878
60.433365731093758,791216.0398284439,488.1184445355596,792282.87036789896,484.77032838495467,1066.8305394550553
60.434320494687505,791260.68096579262,488.19760010370965,792327.89268538938,484.8631993289527,1067.2117195967585
60.435275258281251,791305.31985469523,488.27687310725503,792372.91282229568,484.95611355773781,1067.5929676004453
60.436230021875005,791349.95677071088,488.35601783041028,792417.93095088971,485.04901597701343,1067.9741801788332
60.437184785468759,791394.59175938263,488.43518892403927,792462.94731270731,485.1419067383585,1068.3555533246836
60.438139549062505,791439.22475097585,488.51435004137443,792507.96152659529,485.23480400614159,1068.7367756194435
60.439094312656252,791483.85567579698,488.59355580219153,792552.97377641371,485.32768504534289,1069.1181006167317
60.440049076250006,791528.48471741448,488.67266055790753,792597.98381937237,485.42062298909815,1069.4991019578883
60.441003839843759,791573.11182926851,488.75185558980411,792642.99205846631,485.51354465679589,1069.8802291977918
60.441958603437506,791617.73661903339,488.83105866314139,792687.99807783903,485.60645899263181,1070.2614588056458
60.442913367031252,791662.35973111924,488.91019745018633,792733.00231517921,485.69936167064554,1070.6425840599695
60.443868130625006,791706.98072722252,488.98936248477708,792778.00440073537,485.7922662570582,1071.0236735128565
60.44482289421876,791751.59962972242,489.06851748948799,792823.00452998467,485.88517761172835,1071.4049002622487
60.445777657812506,791796.2169910447,489.14766280732715,792868.00257538853,485.97809536864401,1071.7855843438301
60.446732421406253,791840.83195795259,489.22678880638807,792912.99857093429,486.07104726331835,1072.1666129817022
60.447687185000007,791885.44515204127,489.30592319219585,792957.9926774709,486.16393689405396,1072.5475254296325
60.448641948593753,791930.05636532197,489.38511136381192,793002.9846059758,486.25689734141281,1072.9282406538259
60.449596712187507,791974.66548184503,489.46421680548525,793047.97457498789,486.34981860644893,1073.3090931428596
60.450551475781253,792019.272362747,489.54336662651957,793092.96268777014,486.44272803855978,1073.6903250231408
60.451506239375007,792063.87758359616,489.62244296201573,793137.94870135875,486.53565319695906,1074.0711177625926
60.452461002968754,792108.48091337387,489.70157313508344,793182.93256894045,486.62859864330903,1074.4516555665759
