mass_MeV,bin_center_MeV,bin_width_MeV,observed,gp_mean,in_fit,gp_sd,b_gaussian_control,s_gaussian_control,total_gaussian_control,b_log_gp,s_log_gp,total_log_gp,b_fixed,s_fixed,total_fixed
65,73.1875,0.6250000000000006,1141810.0,1142228.0538299633,False,,,,,,,,,,
71,62.56250000000001,0.6250000000000006,886382.0,887825.2574787446,False,,,,,,,,,,
71,63.18749999999999,0.6250000000000006,913725.0,913470.9012897607,False,,,,,,,,,,
71,63.81249999999999,0.6250000000000006,937192.0,937891.9895453599,False,,,,,,,,,,
71,64.4375,0.6250000000000006,961826.0,961025.1397768292,False,,,,,,,,,,
71,65.06250000000001,0.6250000000000006,982794.0,982820.444178882,False,,,,,,,,,,
71,65.6875,0.6250000000000006,1002204.0,1003241.9969784127,False,,,,,,,,,,
71,66.3125,0.6250000000000006,1023037.0,1022267.9614297246,True,508.3366937965199,1021906.7053266548,-324.43498459298837,1021582.2703420619,1021906.7608270019,-324.46228833911124,1021582.2985386627,1022267.9613190048,-417.48221374765984,1021850.4791052571
71,66.9375,0.6250000000000006,1038892.0,1039890.2043434697,True,551.7852754498841,1039461.7999010835,-573.4751174368204,1038888.3247836466,1039461.8778700113,-573.5233798615213,1038888.3544901498,1039890.2044220244,-737.9465006126752,1039152.2579214118
71,67.5625,0.6249999999999867,1053072.0,1056113.5544861408,True,591.7652154321111,1055621.2921680908,-934.4550560024494,1054686.8371120885,1055621.3939001535,-934.5336977175045,1054686.8602024359,1056113.554392827,-1202.4546795315832,1054911.0997132955
71,68.1875,0.6250000000000144,1068286.0,1070954.7409294273,True,626.6233416199065,1070403.7656731533,-1403.6542622556792,1069000.1114108977,1070403.8916265504,-1403.7723907604363,1069000.1192357899,1070954.740900492,-1806.2191704695208,1069148.5217300225
71,68.8125,0.6249999999999867,1081924.0,1084441.0942797814,True,655.0545441522283,1083838.1853294447,-1943.661216076101,1081894.5241133687,1083838.335202424,-1943.8247903973447,1081894.5104120267,1084441.094322377,-2501.0989128712354,1081939.9954095057
71,69.4375,0.6250000000000006,1093293.0,1096609.079197262,True,676.1128773009095,1095962.378621271,-2481.077440392383,1093481.3011808787,1095962.551101141,-2481.2862424999253,1093481.264858641,1096609.0789488219,-3192.644910331828,1093416.43403849
71,70.0625,0.6250000000000144,1104150.0,1107502.7342244769,True,689.209006021162,1106821.441425181,-2919.576671407587,1103901.8647537734,1106821.6341254096,-2919.82237666136,1103901.8117487482,1107502.734285031,-3756.9047416830444,1103745.829543348
71,70.6875,0.6249999999999867,1113951.0,1117172.091052841,True,694.097859432327,1116466.1297955678,-3167.084030706568,1113299.0457648612,1116466.3393753716,-3167.3505656440148,1113298.9888097276,1117172.0910657442,-4075.396658973055,1113096.694406771
71,71.3125,0.6250000000000144,1121076.0,1125671.6245084372,True,690.8566898195018,1124951.3092450015,-3167.084030706705,1121784.2252142949,1124951.5315297109,-3167.350565644152,1121784.1809640666,1125671.6245413385,-4075.3966589732313,1121596.2278823652
71,71.9375,0.6250000000000006,1130302.0,1133058.7880948298,True,679.855401952694,1132334.4999233629,-2919.576671407509,1129414.9232519553,1132334.7301596825,-2919.822376661282,1129414.9077830212,1133058.7882601502,-3756.904741682944,1129301.8835184672
71,72.5625,0.6249999999999867,1136367.0,1139392.6729881293,True,661.7215959954277,1138674.5503324843,-2481.077440392322,1136193.472892092,1138674.7833678457,-2481.2862424998643,1136193.4971253457,1139392.6730453388,-3192.6449103317495,1136200.028135007
71,73.1875,0.6250000000000006,1141810.0,1144732.8117854372,True,637.3022951673366,1144030.4802165912,-1943.6612160761383,1142086.819000515,1144030.7108483536,-1943.8247903973822,1142086.8860579561,1144732.8117949741,-2501.0989128712836,1142231.712882103
71,73.8125,0.6250000000000006,1147118.0,1149138.15185717,True,607.6229447345221,1148460.4857174305,-1403.654262255642,1147056.8314551748,1148460.708958207,-1403.772390760399,1147056.9365674464,1149138.1518233297,-1806.2191704694726,1147331.9326528602
71,74.4375,0.6250000000000006,1152124.0,1152666.197647019,True,573.8478110015844,1152021.124881491,-934.4550560024666,1151086.6698254887,1152021.3361885073,-934.5336977175217,1151086.8024907897,1152666.1974398645,-1202.4546795316053,1151463.742760333
71,75.0625,0.6250000000000006,1152628.0,1155372.3242889836,True,537.2408381113597,1154766.6777518573,-573.4751174368141,1154193.2026344205,1154766.873100939,-573.523379861515,1154193.3497210774,1155372.324203224,-737.9465006126671,1154634.3777026113
71,75.6875,0.6250000000000006,1154382.0,1157309.2609171683,True,499.1284892141541,1156748.6766448,-324.43498459298524,1156424.241660207,1156748.8529641961,-324.46228833910806,1156424.390675857,1157309.2610080468,-417.4822137476558,1156891.778794299
71,76.31249999999999,0.6250000000000006,1160070.0,1158526.7207239869,False,,,,,,,,,,
71,76.9375,0.6250000000000006,1157762.0,1159071.1727495487,False,,,,,,,,,,
71,77.56249999999999,0.6250000000000006,1160222.0,1158985.7349484884,False,,,,,,,,,,
71,78.1875,0.6250000000000006,1155707.0,1158310.1683625076,False,,,,,,,,,,
71,78.81250000000001,0.6250000000000006,1157591.0,1157080.956358002,False,,,,,,,,,,
