mass_MeV,observed_counts,smooth_truth_counts,truth_gp_variance,injected_signal_counts,background_m66,background_m71,background_m72
203.8125,70370.0,70024.57139520213,1772.4992927882586,0.0,70022.22712892172,70026.67628035726,70025.72850308917
204.4375,68520.0,68829.64330660783,1736.4657814019074,0.0,68827.67090337382,68831.61294667951,68830.6233254048
205.0625,67784.0,67653.94327241296,1700.9240142769027,0.0,67652.34233721261,67655.76963623955,67654.74561773767
205.6875,66485.0,66497.16361664307,1665.9109455828852,0.0,66495.9313328676,66498.83983258257,66497.78883494175
206.3125,65116.0,65359.002628738825,1631.4669746704124,0.0,65358.133909140306,65360.52299363703,65359.452320367476
206.9375,64553.0,64239.16445572249,1597.633377784876,0.0,64238.65204196587,64240.52442698878,64239.441231163626
207.5625,63111.0,63137.35894985675,1564.450742684617,0.0,63137.19359876564,63138.55512039648,63137.4664048559
208.1875,62152.0,62053.30159824904,1531.9584837090654,0.0,62053.47220655256,62054.3316712507,62053.24421839224
208.8125,61299.0,60986.713359856956,1500.1931169331117,0.0,60987.20710509854,60987.576132325084,60986.496471921986
209.4375,60343.0,59937.32056921903,1469.1876901737107,0.0,59938.12307352471,59938.015862278524,59936.95024407814
210.06249999999991,59115.0,58904.854781050584,1438.9703021610521,0.0,58905.95028984098,58905.383445916945,58904.337827817144
210.6875,57519.0,57889.05266401069,1409.5630264462513,0.0,57890.42417692993,57889.41650687302,57888.396514295775
211.3125,56799.0,56889.65590175864,1380.9829388865087,0.0,56891.28535943711,56889.85765918214,56888.86856005309
211.9375,55808.0,55906.411051723466,1353.239724080725,0.0,55908.27948028173,55906.45430581054,55905.501011978224
212.5625,55096.0,54939.06940845196,1326.335787384949,0.0,54941.157074147595,54938.95855513397,54938.04558526232
213.1875,53965.0,53987.38690280779,1300.2668624526752,0.0,53989.67349412213,53987.12709890103,53986.2585901476
213.8125,53182.0,53051.124016846814,1275.0213509917212,0.0,53053.58875635808,53050.72108881912,53049.90076288432
214.4375,52369.0,52130.04559129419,1250.5811901861084,0.0,52132.66742349528,52129.506032778496,52128.73719237285
215.0625,51259.0,51223.9207847327,1226.9210331417771,0.0,51226.67849652243,51223.25161099906,51222.53716822531
215.6875,50630.0,50332.52290393422,1204.0097812939678,0.0,50335.395277735486,50331.731674061,50331.074097583136
216.3125,49234.0,49455.62932810816,1181.810926031564,0.0,49458.59525604851,49454.724032950755,49454.12539363446
216.9375,48778.0,48593.021395391486,1160.283108613386,0.0,48596.06000530751,48592.01039634558,48591.47235002385
217.5625,47294.0,47744.48426670516,1139.3810447259139,0.0,47747.575056126465,47743.376260931334,47742.90005324108
218.1875,46826.0,46909.80685883329,1119.0562470993211,0.0,46912.92978636853,46908.61077217304,46908.19725029358
218.8125,46240.0,46088.78170329688,1099.2584194434364,0.0,46091.91730494673,46087.506672142285,46087.15630743803
219.4375,45081.0,45281.20486734877,1079.9358900659859,0.0,45284.33434196843,45279.860166846796,45279.57303652025
220.0625,44353.0,44486.87584072542,1061.036826834982,0.0,44489.981141585755,44485.47081872411,44485.24665689454
220.6875,43762.0,43705.59746503754,1042.510072704179,0.0,43708.661364585576,43704.14149802075,43703.97966214228
221.3125,42840.0,42937.175791015776,1024.3062474842452,0.0,42940.18196614005,42935.678221889146,42935.577768174684
221.9375,42029.0,42181.42003837506,1006.3786314706222,0.0,42184.35311408628,42179.890122147524,42179.84978473051
222.5625,41355.0,41438.1424623762,988.6835831711848,0.0,41440.98807509462,41436.58933607992,41436.6075421785
223.1875,40620.0,40707.15829201173,971.1816867624975,0.0,40709.90313393783,40705.590919749055,40705.66582235085
223.8125,39880.0,39988.28563787636,953.8380073304946,0.0,39990.917476481154,39986.712752980166,39986.84226345281
224.4375,39512.0,39281.34540450247,936.6229671086256,0.0,39283.853132610304,39279.77549797569,39279.95727218382
225.0625,38411.0,38586.16121649831,919.5123153798091,0.0,38588.53485932672,38584.602480082795,38584.83398578831
225.68749999999991,37921.0,37902.55934721278,902.4876772867927,0.0,37904.79006807064,37901.01964436959,37901.29812930206
226.3125,37229.0,37230.36862277785,885.5367328845768,0.0,37232.448743128174,37228.855466494155,37229.178025888126
226.9375,36352.0,36569.42037402318,868.6529131275709,0.0,36571.34335514596,36567.94089704559,36568.304464213135
227.5625,35924.0,35919.548349218174,851.8354994115517,0.0,35921.308803091284,35918.109269238834,35918.51066669177
228.1875,35282.0,35280.58867169823,835.0896258839784,0.0,35282.18232248326,35279.19628453323,35279.6322065825
