model,source,mass_GeV,mass_MeV,z,sigmaA_diagonal_poisson,injected_amplitude,refit_absorption_fraction,z_times_abs_absorption,gap_projection_amplitude,gap_abs_shift_sigmaA,tangent_absorption_fraction,tangent_solver_absorption_spread,refit_best_basin_repeats,gap_best_basin_repeats,refit_optimizer_success,gap_optimizer_success,refit_constraints_feasible,gap_constraints_feasible,refit_failure,gap_failure
knot_spline,one_pct,0.2149999999999999,214.99999999999991,1.0,375.5499958059036,375.5499958059036,0.13185472931446343,0.13185472931446343,-5.9752906847742215,0.015910772870471407,0.13184686443328547,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.2149999999999999,214.99999999999991,3.0,375.5499958059036,1126.649987417711,0.13186906014892502,0.39560718044677506,-5.9752906847742215,0.015910772870471407,0.13184686443328547,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.2149999999999999,214.99999999999991,5.0,375.5499958059036,1877.749979029518,0.13188359805845998,0.6594179902922999,-5.9752906847742215,0.015910772870471407,0.13184686443328547,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.21999999999999992,219.99999999999991,1.0,355.75772065115075,355.75772065115075,0.11864084324313949,0.11864084324313949,-2.256560339131726,0.006342969409072829,0.11863255919874735,0.0,3,4,True,True,True,True,,
knot_spline,one_pct,0.21999999999999992,219.99999999999991,3.0,355.75772065115075,1067.2731619534522,0.11865227673633813,0.35595683020901436,-2.256560339131726,0.006342969409072829,0.11863255919874735,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.21999999999999992,219.99999999999991,5.0,355.75772065115075,1778.7886032557537,0.11866512846680514,0.5933256423340257,-2.256560339131726,0.006342969409072829,0.11863255919874735,0.0,3,4,True,True,True,True,,
knot_spline,one_pct,0.22499999999999992,224.99999999999991,1.0,336.7952720302056,336.7952720302056,0.10579921298321464,0.10579921298321464,15.246066205394252,0.045268052943530944,0.10579325608600579,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.22499999999999992,224.99999999999991,3.0,336.7952720302056,1010.3858160906168,0.1058106996525944,0.31743209895778324,15.246066205394252,0.045268052943530944,0.10579325608600579,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.22499999999999992,224.99999999999991,5.0,336.7952720302056,1683.9763601510278,0.1058216255659669,0.5291081278298345,15.246066205394252,0.045268052943530944,0.10579325608600579,0.0,3,4,True,True,True,True,,
knot_spline,one_pct,0.22999999999999993,229.99999999999991,1.0,318.62367079759633,318.62367079759633,0.09361371061783698,0.09361371061783698,46.45659406133479,0.14580396348156457,0.09360733858988206,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.22999999999999993,229.99999999999991,3.0,318.62367079759633,955.871012392789,0.09362212060150119,0.28086636180450353,46.45659406133479,0.14580396348156457,0.09360733858988206,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.22999999999999993,229.99999999999991,5.0,318.62367079759633,1593.1183539879817,0.0936316445421361,0.4681582227106805,46.45659406133479,0.14580396348156457,0.09360733858988206,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.2349999999999999,234.99999999999991,1.0,301.2110207946234,301.2110207946234,0.08228179976880866,0.08228179976880866,20.242010907814272,0.06720209258749536,0.08227631623930926,0.0,4,4,True,True,True,True,,
